Task code,Task name,Family,Brand,Tagline,Sector,Founded / place / size,About,Audience,Price positioning,Personality,Palette,Typography,Voice,Values,Brand assets status
SB3-028-PHO,Verda Reformer Studio - Fitness campaign image system,Photo & Image,Verda Reformer Studio,Room to breathe.,Boutique reformer pilates studio,"Founded 2022, first studio run for four years; opening a second location on Calloway Row in a North American city. Owner led by Marit and Dana, with six instructors. Small, independent, growing to two rooms.","Verda is a boutique reformer pilates studio built on calm. One body, one room, generous air, and unhurried attention. Marit and Dana have run a single studio for four years and are now opening a second on Calloway Row. The studio is deliberately the opposite of a chain gym: no crowding, no shouting, no gloss of the everyday. What clients pay for is space, focus and a considered environment they return to.","Considered buyers, mostly women in professional work, aged 28 to 48. They typically audition three studios before committing to one, and they are paying for calm, attention and space rather than volume or intensity.","Premium neighborhood, not luxury. Intro pack 180 dollars, membership 220 a month. Positioned above a high volume budget gym and below wellness luxury: the tone is soft daylight and quiet confidence, never pretension and never a discount.","Calm, Considered, Warm, Quietly confident, Unhurried","Sage #9CA98F
Oak #C7A97A
Warm Off White #F4F0E8
Soft Ink #33352E","GT Alpina (humanist serif), Light weight, sets headlines and the studio name: 88 px on the launch page, 56 px on the feed post and the story. Basis Grotesque (sans), Regular for body at 22 px on 34 px leading and Medium for small labels, class times and prices at 16 px, tracked 40 thousandths open. The quiet signature is wide letterspacing on the wordmark. Never set a headline in the sans, and never bold or condense either face.","Plain, warm and unhurried. Speaks to one person rather than a crowd. Confident without hype, and honest about what the room actually is.","Calm, attention, generous space, and honesty about the room a client will actually walk into.","No brand guidelines were ever written. The wordmark was drawn by a designer who has since left, and the only surviving file is a small low resolution web export she handed over. There is no master artwork, no color specification and no font list on record, so the freelancer inherits the studio look from this brief and from the room itself."
SB3-029-PHO,Cape Marren - Shoulder-season tourism campaign,Photo & Image,Cape Marren Coast Alliance,"The coast, out of season.","Regional destination marketing, an alliance of independent coastal member businesses","A visitor alliance of twenty two independent member businesses along the Cape Marren coast on the North American Atlantic seaboard. Coordinated by Nell on behalf of the members. Small, member funded, regional in reach.","Cape Marren Coast Alliance markets a stretch of independent coast to shoulder season visitors. Summer sells itself; the work is October to April, when a harbour seafood room, a cider barn, a point light, a bookshop, a bakery and an oyster landing either make a living or do not. The campaign has to feel like that season honestly: warm low sun, weather, wool, wet stone, a lit window at four in the afternoon, quiet compositions with one or two people. Members have to see themselves in it, because members who cannot see themselves do not renew.","Travellers aged 30 to 60, driving from within four hours, mostly couples and pairs of friends rather than families. They spend 200 to 600 dollars per party across a two or three night shoulder season weekend on rooms, meals, cider and a walk.","Mid range and real. Positioned above a peak summer holiday treatment (which would oversell blue water and hard sun) and below a 1,500 dollar luxury coastal weekend (which would go near monochrome and strand the bakery and the cider barn). Editorial rather than promotional, and never promising a season the coast cannot deliver in November.","Honest, Warm, Grounded, Understated, Weathered","Warm October Sun #C8894B
Wet Stone #5B5F5C
Wool Cream #E7DDC9
Deep Harbour #2E3A3C","Newzald (serif), Book weight, sets headlines: 180 pt on the destination poster, 64 px on each carousel page, 42 pt on the member feature. Atlas Grotesk (sans), Regular, carries captions, member names, trail numbers and opening months at 11 pt in print and 28 px on screen, with body running 10.5 pt on 15 pt. Opening months use Atlas Grotesk Medium tabular figures so they align down a column. Never set a member name in the serif, and never letterspace the headline.","Grounded and truthful. Warm about the place without overselling it, and specific about what a visitor will actually find when they arrive out of season.","Honesty about the season, keeping every member visible, and supporting the independent businesses that fund the alliance.","No written brand guidelines exist. The only brand file on hand is the alliance mark left by the previous agency, supplied as a single vector file with nothing else: no color system, no type list and no usage notes. Members submit their own photographs and object shots, and the campaign look is set by this brief rather than by any existing kit."
SB3-030-PHO,Palewell Health - Licensed care image campaign,Photo & Image,Palewell Health,Care that meets you at home,"Direct to consumer digital health platform with a growing employer benefits channel, sold to members and to the benefits leads who choose on their behalf","Founded 2019 in Portland, Oregon; an eleven person team, clinician led, still owner run","Palewell is a subscription digital health platform for people managing ordinary, everyday conditions from home. Members pay a modest monthly fee for clinician backed guidance, and about half our growth now comes through employer benefits teams who offer us to their staff. We exist so that steady, unglamorous care feels reachable rather than clinical.","Members aged thirty to fifty five who want reassurance without a hospital, plus benefits and HR leads who evaluate us for risk and coverage before putting us in front of their people","Fifteen to forty dollars a month, plus employer plans. Mid market and accessible: above a free wellness app, well below concierge medicine. The read must never feel like a two hundred dollar boutique practice or a supplement funnel.","calm, credible, human, steady, plainspoken, warm","Deep Slate #2C3742
Warm Chalk #F3EEE6
Sage Signal #6E8F7C
Soft Ink #4A5560
Paper White #FBFAF7","Lyon Text (humanist serif), Regular weight, sets headlines and pull quotes: 120 pt on the care poster, 72 px on the website header, 48 px on the referral panel. Inter (humanist sans) carries body, labels and every interface element, Regular at 18 px on 28 px, Medium for the contact block, and 12 pt on 17 pt in print. Figures are Inter tabular so dates and phone numbers align. Never set the contact details in Lyon, and never italicise a clinical claim.","Plain, warm and unhurried; we speak to a person, not a patient. We avoid hype, superlatives and clinical jargon. Example line the brand would write: ""Manage the everyday stuff with someone in your corner, from home.""","Credibility and warmth held together: real people in real rooms, honest about what we are, calm enough that a benefits lead trusts us with their staff.","There is no formal brand book. What exists is an internal notes file describing the palette in words (a deep slate, a warm chalk, a single muted signal colour), the tone of voice, and what the founders mean by calm. We have never run a photo shoot: every image on the current site came free with the template, and we own exactly one photograph outright, of our clinical lead, cleared for use."
SB3-031-VEC,Cordwain Overland - Identity master graphics,Vector & Print,Cordwain Overland,Made for the long way round,Mid tier overland and hiking apparel label selling graphic tees and hoodies through its own store and four independent outfitters,"Founded 2016 in Bend, Oregon; a small independent label, a handful of people, direct to consumer plus four stockists",Cordwain Overland makes graphic apparel for people who drive the back roads and walk the ridgelines. Our graphics are the reason people buy: customers zoom in on the print detail before they add to cart. Every drop is a small set of designs printed with care on garments meant to be worn hard.,"Buyers aged twenty four to forty who care how a print is made, can tell a discharge print from a thick plastisol slab, and screenshot the print detail before they buy","Tees at thirty four dollars, hoodies at seventy eight. Mid tier: a clear step above a bargain blank, priced on print quality rather than logo. Two or three tight inks with a bit of texture read as the craft they pay for.","rugged, considered, understated, craft led, outdoorsy, honest","Basalt #2A2E2B
Trail Sand #C7B299
Pine Shadow #3E4A3D
Rust Ridge #9C5A38
Bone #EDE7DA","Badge and display work is Trade Gothic Bold Condensed No. 20 (condensed grotesque), 700 weight. Running copy is Atlas Grotesk Regular 400, with Atlas Typewriter Regular 400 for ink codes and print widths. On the A4 sheets set section heads 18 pt, body 10 pt on 13.5 pt leading, spec numerals 8.5 pt, badge lettering 34 pt tracked open 6 percent. Garment mark lettering is drawn and outlined to paths, the field manual signature of the label, never live type and never set in Atlas Grotesk.","Direct, plainspoken and a little dry; we talk about how a thing is made, not how it will change your life. Example line the brand would write: ""Three tight inks, printed to last the season.""","The print is the product. We would rather run two or three honest inks with real texture than a muddy multi colour job, and we never price the line out of its own customers.","The brand sheet is two pages of internal notes: the palette in words, the placement rules we have always used, our maximum print widths for chest and full back, and a paragraph on what we mean by a tight print. Our old designer worked off site and we never got the layered files; for three of our best selling graphics all that survives is a few flat web exports and two printed samples we photographed on the bench."
SB3-032-VEC,Redecker Machine Works - Restored mark system,Vector & Print,Redecker Machine Works,Formed true since 1919,"Manufacturer of press brakes and metal forming presses, capital equipment sold to procurement engineers and plant managers across North America and northern Europe","Founded 1919 in Sheboygan, Wisconsin; third generation family works, forty one people","Redecker builds press brakes and metal forming presses, from forty thousand to three hundred thousand dollars a machine. The works has carried the same company mark since 1919. Our buyer reads the tolerance sheet before he reads anything we wrote, so everything we put a name on has to say precision.","Procurement engineers and plant managers who buy on specification rather than feeling, across North America and northern Europe","Capital equipment at forty thousand to three hundred thousand dollars per machine. The mark is read as evidence about the machine: the register is flat, mechanical, high contrast and generously spaced, never heritage craft workshop and never consumer tech.","precise, mechanical, durable, understated, trustworthy, industrial","Works Green #33564A
Machine Black #1B1E1D
Plate Steel #8A9091
Cream Board #E8E2D2
Signal White #F6F6F3","The works mark and plate wording are Neue Haas Grotesk Display 75 Bold (flat grotesque), capitals tracked open 8 percent, which is the signature of the mark. Suisse Int'l Regular 400 carries the usage sheet and stationery, Suisse Int'l Mono Regular 400 sets serials and voltages. On the plate set the wordmark 14 pt, field labels 7 pt capitals, field values 9 pt. On the A4 header set the wordmark 20 pt, body 9.5 pt on 13 pt leading. Never italicise or condense the mark.","Spare, factual and confident; we state the specification and let it stand. No adjectives a tolerance sheet would not carry. Example line the brand would write: ""Built to a hundred years of the same standard, plate by plate.""","Precision as reputation: the mark on a two hundred thousand dollar machine has to be as true as the machine, reversed clean out of the works green, and unmistakably ours.","We no longer hold usable artwork for the company mark in any form. The designer who last touched it retired in the nineties and nothing came back from his files. What survives is a flatbed scan of the 1974 parts catalogue cover, where the mark is printed in one deep ink on cream board, and a photograph a fitter took of the same mark etched into a stainless nameplate on a machine that came back for a rebuild. A works standards text file records the green as the paint shop mixes it, the address block and the required plate wording. Two further company marks also survive only as artefacts: the works proving stamp, held only as a die impression struck into a steel test coupon a fitter photographed, and the 1919 cast heritage device, held only as a raking light photograph of the badge cast and painted into a machine's main frame."
SB3-033-VEC,Apex Rally Club - Motorsport face and livery system,Vector & Print,Apex Rally Club,Chasing the line since 1987,Volunteer run amateur rally club producing hard enamel pins and struck challenge coins for its members and event tent table,Founded 1987 in Vermont; a volunteer run club of two hundred and forty members holding six events a year,"The Apex Rally Club is a volunteer amateur motorsport club in Vermont. Six events a year, and a merch table that pays for the timing gear. The club crest goes back to 1987 and each event badge, the hillclimb, the night stage, the ice trial, the gravel loop and the finale, was drawn over the years by members. This autumn is our first proper collectible run with a mint.","Club members aged roughly twenty to forty five who already own the previous years and buy on continuity with the club's history, plus impulse buyers at the event tent","A two tier line: twelve dollar impulse pins across the tent table and ninety five dollar numbered coins a member inspects in the hand. The register is club rather than corporate: confident and worn in, never novelty and never distressed for effect.","worn in, loyal, handmade, spirited, understated, enduring","Rally Green #2F5D3A
Ash Black #212322
Vintage Ochre #C98A2E
Struck Gold #B7912F
Snow White #F1EFE8","Crest and badge lettering is Sentinel Bold 700 (slab serif), carried as outlined paths so the mint receives artwork. Gotham Book 400 sets the mint spec sheet, capsule insert and backing cards, Gotham Medium 500 the small label capitals. Set crest ring lettering 11 pt on the coin face, backing card titles 16 pt, body 9 pt on 12.5 pt leading, edition numerals 10 pt. The worn slab ring is the club signature. Never set the crest in Gotham, never add distress texture.","Warm, understated and proud of the years behind us; we talk about continuity, not hype. Example line the brand would write: ""Same crest we ran in 1987, struck to hold up to the light.""","Continuity with 1987: the ninety five dollar coin is bought on history, so the faces have to read as one club collection rather than six separate files, worn in but never sloppy.","None of the art exists in a form a mint will accept. What we have is six reference sheets, the crest and five event badges, printed at different times on different paper and photographed on a workbench under whatever light was in the garage. A member also sent a photo of the crest as it is embroidered on the club jackets. The mint requirements file gives diameters, the hard enamel colour ceiling, plating options and the rule that the coin's raised metal version must be line only."
SB3-034-VEC,Meridian and Ash - Sticker artwork production masters,Vector & Print,Meridian and Ash,Roasted in the machine shop,"Specialty coffee roaster and cafe selling stickers and merchandise at the till, at farmers markets and to wholesale accounts.","Founded 2016, Portland, Oregon, a converted machine shop with one counter, two market stalls and roughly forty wholesale accounts.","Meridian and Ash roast single origin coffee in a converted machine shop and sell it across their own counter, at two farmers markets and to about forty wholesale accounts. The merchandise table is half the fun: stickers people put on laptops and water bottles because they actually like the mark. The whole point is a range that feels made by hand, not bought by the case.","Cafe regulars twenty to thirty five who buy a sticker at the till without deciding first, and wholesale buyers who hand them out with orders.","Impulse retail, three dollars a single and nine dollars a four pack. Priced to be handed out by the fistful, so the range has to read as abundant rather than precious.","Playful, Generous, Hand made, Warm, Unfussy, Local","Roast Brown #3E2A20
Kraft #C8A97E
Ash Green #5B6B54
Warm Cream #F3E7D3
Brick Red #A8442E
Ink Black #201914","The wordmark is drawn lettering built on Clarendon URW Bold 700 (slab serif), outlined paths with the painted drop shade on its own layer, the sign painter look that defines it. Brandon Text Regular 400 sets sticker copy, Brandon Text Bold 700 the gang sheet capitals. On a 55 mm sticker set the arched wordmark 18 pt, supporting line 7 pt, gang sheet slug labels 6 pt; wordmark cap height about 150 px in the 1600 px proofs. Never rebuild the wordmark as live Clarendon.","Plain, warm, a little wry, never precious. Example line: Pull one off the sheet, stick it on your laptop, come back for the other three.","Consistency people can trust, so the artwork stops being redrawn slightly differently every batch, and a hand made feel that reads as a real roastery rather than a franchise.","No usable source files exist. The window mark was hand painted on the shop glass in 2018 by a sign painter who never handed over a file. The three current illustrations survive only printed on the coffee bags, and the printer still holds last season's counter card artwork."
SB3-035-VEC,Isla Verde - Monogram and wayfinding pictogram system,Vector & Print,Isla Verde,The quiet coast,Independent upscale coastal resort refreshing its corridor and garden wayfinding and its room signage.,"Family owned, Gulf coast of Florida, a forty two room property with corridors, a garden path and about twenty four rooms and facilities.","Isla Verde is a family owned resort on the Gulf coast where guests come for quiet. Forty two rooms, refinished corridors and a garden that people walk slowly. The signage is being rebuilt this winter so the property reads as calmly as it feels, with the house monogram carried consistently from the door plates to the directional panels.","Independent leisure travellers thirty to fifty five paying for calm, who notice when a place is shouting and value being able to find their way without being told loudly.","Upscale independent, rooms three hundred and eighty to six hundred and fifty a night. Signage should read at that tier: generous clear space, delicate marks, confidence rather than contrast for its own sake.","Quiet, Restrained, Coastal, Considered, Warm, Private","Deep Palm #2C3B34
Warm Stone #D8CFC0
Slate Grey #5A5F60
Mist Grey #A7ABA8
Sand Cream #EFE9DD
Ink Charcoal #2A2A28","The interlocking monogram is drawn from Canela Light 300 (flared serif), kept as outlined paths and set small with generous clear space. Tiempos Text Regular 400 sets all plate and panel wording, Tiempos Text Medium 500 the room numerals. On the 200 by 75 mm plates set the monogram 26 pt, the English line 20 pt, the Spanish line 13 pt in Mist Grey (#A7ABA8), room numerals 30 pt, tracked open 4 percent. Never set the Spanish line in italic, never set the monogram as live type.","Understated, warm, precise. It gives directions without raising its voice. Example line: The spa is along the garden path, second door on the left.","A sense of quiet that guests can navigate, and a written standard so the next person who orders a sign does not invent something new.","No monogram source file survives. The designer moved abroad and nothing was handed back. The only decent record of the mark is a foil stamp on the cover of a brochure printed in 2019. The 2016 sign shop that cut the current door plates has since closed, though its press artwork for the plates is still on file."
SB3-036-VEC,Ridgeway Rovers - Football crest master system,Vector & Print,Ridgeway Rovers FC,"Our club, our colours","Grassroots amateur football club refreshing its playing kit, crest and shirt numbering through one local kit supplier.","Founded 1974, a village near Cirencester in the Cotswolds, with two senior sides, a veterans XI and four junior age groups.","Ridgeway Rovers are a village football club that has worn the same crest since 1974 and drawn their own shirt numbering since the nineties. This season brings the first new shirt since 2019. The club wants its own crest and its own hand drawn numbering back as proper artwork, so any supplier can print it and it still looks like Ridgeway.","Players and parents at twenty eight to forty five dollars a shirt, often buying a child's fourth kit in five years, who want something that looks like a proper club.","Grassroots, twenty eight to forty five dollars a shirt printed by one local supplier. Numbering has to reduce to a single robust cuttable colour for heat press and flock, honest rather than pro tier.","Proud, Homegrown, Down to earth, Loyal, Sturdy, Volunteer run","Claret #6B1F2E
Navy #1E2A44
Shirt White #F4F2ED
Old Gold #C09A3E
Pitch Green #3B5A3A","The crest ring lettering and the shirt numbering are drawn artwork, not type: the founder's hand drawn small caps and digits are the club's signature and stay as outlines. Spec copy on the kit sheet is set in Trade Gothic Next Condensed (sans) 700 for headings at 24 pt, Freight Sans Pro Book for body at 9.5 pt on 13 pt leading, and Freight Sans Pro Medium for size labels at 7.5 pt. Never set a shirt number in a typeface.","Straightforward, warm, club room plain. Example line: Same crest we have worn since 1974, cleaned up so any printer can do it justice.","Keeping what is genuinely theirs, the 1974 crest and the founder's numbering, and reading as a real village club rather than a franchise or a school project.","No artwork survives. The former kit secretary took the crest files when he moved away, leaving only a parent's phone photo of the crest stitched on last season's home shirt. The numbering exists only as two marker on graph paper sheets, an alphabet and a digit set, drawn by a founding member in the nineties and photographed on a kitchen table. Last season's supplier back of shirt sheet is on hand as the format."
SB3-037-VEC,Wharfside Folk Festival - Restored festival identity,Vector & Print,Wharfside Folk Festival,Twenty years on the harbour,Independent three night folk music festival producing a screen printed poster programme and act cards for its twentieth year.,"Founded 2006, on the working harbour at Fairhaven, Maine, a three night festival printed by a two person hand screen shop two streets away.","Wharfside is a three night folk festival on the working harbour at Fairhaven, in its twentieth year. Everything it prints comes off a two person hand screen shop that has printed the festival since the beginning, on a press that runs four inks plus the colour of the paper. The visible, hand pulled look is the festival's signature, and people frame the posters every year.","Festival goers and locals at thirty five to sixty dollar tickets, many of whom already own the last five years of posters and buy the new one as a twenty dollar framed keepsake.","Community festival pricing, tickets thirty five to sixty dollars and posters sold afterwards at twenty dollars. The slightly imperfect hand pulled screen look is the value, not a corner cut.","Handmade, Rooted, Folk, Warm, Community run, Unpolished","Harbour Blue #2F5A6E
Rust Red #B5502F
Hill Ochre #C69A46
Deep Ink #22282B
Kraft Paper #E4D6BC
Quay Teal #3E8C86","The wordmark stays the hand painted shed lettering, redrawn as outlines and never set as live text. Headline act names on the poster are Sentinel Black (slab serif) at 96 pt, the supporting bill is Knockout HTF49 Liteweight at 34 pt, and venue, date and ticket copy is Adobe Caslon Pro Regular at 11 pt on 15 pt leading, dropping to 9 pt on the handbill. Shirt artwork uses Sentinel Black caps at 40 pt. Never set the wordmark in Sentinel.","Warm, plainspoken, of the place. Example line: Three nights of folk on the old harbour, twenty years and counting.","Keeping the hand pulled, limited ink look that makes the posters worth framing, and staying continuous with nineteen years already hanging in local kitchens.","The wordmark exists only as white paint on the weathered timber of the harbour shed, photographed from the quay, with no file and none ever made. The approved twentieth year illustration exists as a single flattened scan of a gouache and watercolour painting, no layers. The screen shop's own act card from last year is on file as the format."
SB3-038-VEC,Coble and Vane - One-color mark system,Vector & Print,Coble & Vane,"Salt, iron, cold light.","A two-person coastal distillery making small-batch gin and cask-strength single malt, sold shop-direct and through independent merchants.","Founded 2020, on the Northumberland coast, England. A two-person distillery: [record subject] runs the still, her partner runs everything else.","Coble & Vane is a working distillery on a stretch of the North Sea coast, named for the flat-bottomed fishing boat that once beached below the still house. We release twelve casks a year and nothing we cannot stand behind. The bottle is meant to earn its place on a shelf and in a hand, not to shout across the shop.","Buyers aged 30 to 55 choosing a gift or a considered bottle, and the independent merchant deciding whether the bottle earns its shelf facing. People who read a label closely and reward restraint.","Bottles 55 to 120 dollars: standard gin at 55, cask-strength single malt from 95 to 120. Upper-craft tier, sitting deliberately apart from the twelve-dollar shelf. Value is carried by finish, emboss and wax rather than by loud print.","restrained, weathered, honest, quiet, coastal, considered","Deep Sea Iron #1F2A2E
Oxblood Wax #5A1F1B
Cold Slate #6E7B80
Bleached Rope #D9CFB8
Coble Black #141414","Display is Canela Deck (serif) 500, set in caps with generous tracking, which gives the engraved feel of cut metal that the bottle depends on. Text is National 2 Regular (humanist sans), with National 2 Medium tabular figures for cask numbers and strength. On a label the wordmark sits at 22 pt, the cask number at 14 pt, body at 8 pt on 11 pt leading, legal at 6 pt; supplier sheet body runs 9.5 pt. No italics on the cask strength figure.","Plain, dry, unhurried. Written as instruction, not advertisement. Example line: ""One ink, plenty of air, and nothing shiny. If our own list looks wrong to you, say so before you make it.""","Restraint and honesty. One deep ink, generous clear space, and finishes that carry the value instead of the print. Say plainly what a version can and cannot do.","The house mark was drawn six years ago by an illustrator who has since moved abroad and cannot be reached. It survives only as a full-colour illustration flattened to a single PNG. There are no vector files, no one-ink versions, and no supplier guidance sheet. Every single-colour version a supplier has ever received was improvised from that one file, and no two have matched."
SB3-039-VEC,Halcyon Grid - Production logo family,Vector & Print,Halcyon Grid,Scheduling infrastructure that holds.,"A seed-stage software company selling scheduling infrastructure to logistics operations teams, with a main product and two sub-products.","Founded 2024, Denver, Colorado. Eleven people, six weeks out from their first developer conference.","Halcyon Grid builds scheduling infrastructure for logistics operations teams, sold by the seat to the engineers and operations leads who run the floor. The product is judged on reliability, and the brand is meant to say the same thing the software does: precise, plain, and built to be depended on.","Engineering and operations leads at mid-sized logistics firms, decided by a technical evaluator rather than a brand buyer. An audience that reads fuss as sloppiness and crispness as competence.","Seats 20 to 60 dollars per user per month. Mid-market infrastructure pricing, sold on reliability and evaluation rather than on brand aspiration. The visual language reads as engineering credibility, never as marketing spend.","precise, plain, technical, restrained, dependable, sharp","Grid Indigo #2B2E6B
Signal Violet #6C4BD8
Slate Ink #1C2230
Cool Steel #8A93A6
Paper White #F6F7FA","Wordmark and headings are Neue Haas Grotesk Display 65 Medium, drawn as outlines in the logo files and never set as live text. Documentation and interface copy are Inter Regular with tabular figures, and code or grid references are JetBrains Mono Regular. The usage guide sets section headings at 18 pt, body at 10 pt on 14 pt leading, captions at 8 pt; the team page sets its headline at 64 px, names at 20 px, roles at 16 px. Never letterspace the wordmark.","Direct, unadorned, engineer to engineer. No hype, no gloss. Example line: ""Sharp, plain, restrained. If something in our own list turns out to be a bad idea, tell us before you build it.""","Reliability and restraint. Geometry over decoration, documentation over marketing. Say honestly what the artwork can and cannot do, including the founder's gradient.","The three marks (the main mark and two sub-product marks) were generated by the founder in an AI tool two years ago, on separate nights with different settings. Only the soft-edged raster exports survive, with no source files. They go soft as soon as anyone scales them, and the printer and the app store listing have both said they cannot use them. No production vector artwork exists."
SB3-040-VEC,Evergreen Provisions - Restored crest system,Vector & Print,Evergreen Provisions,Keep the brush in it.,"A vertically integrated cannabis retailer running two dispensary storefronts, launching a short-run counter-sold apparel capsule.","Founded 2019, Bend, Oregon. Two owned dispensary shops, owner-run, with a small counter-retail apparel line.","Evergreen Provisions runs two dispensary shops in Bend, built around six house strain families. Two years ago the owners paid a local sign painter to hand-paint a crest panel for each family onto the shop walls. Customers photograph them constantly and ask where they can buy them, and the first apparel capsule exists to answer that question without losing the hand that made the panels.","Craft-minded dispensary customers aged 25 to 45 who buy at the counter on the strength of the wall panels they already photograph. People who pay for the painted origin, not for a logo.","Tees at 32 dollars, hoodies at 70 dollars, short-run and counter-sold. Elevated streetwear priced above gas-station merch and below a designer drop. The painted texture is the product, so the value sits in the brush surviving, not in gloss or foil.","hand-made, earthy, crafted, unfussy, local, elevated","Aubergine Deep #3B2B3A
Cedar Bark #6B4A2E
Sage Field #7C8A5F
Bone Primer #E7E0D0
Bench Black #1A1714","The crest lettering stays the sign painter's painted hand, traced to outlines from the panel photographs, brush ends and all. Secondary titles use Brothers OT Bold, a chiselled sign painter face, at 20 pt in the capsule presentation. Ink tables, plate numbers and spec copy use Founders Grotesk Regular at 9 pt on 12.5 pt leading, with Founders Grotesk Medium at 7.5 pt for captions. Never set a painted crest word in a font.","Warm, plain-spoken, shop-floor honest. No luxury posturing and no carnival hype. Example line: ""These are hand painted panels and that is the entire reason anyone wants them. Keep the brush in it, and tell us plainly what came back and what did not.""","Craft and honesty. Keep the painted hand, hold the palette to the inks the decorator already stocks, and say plainly what the paintings can and cannot give a screen.","The six crest panels were hand-painted by a local sign painter who has since moved to Montana and left no sketches or files. The only surviving artwork is a set of bench photographs of the finished panels, shot over two visits under mixed light. There is no vector art and no separation art, which is exactly why the screen printer cannot quote a run."
SB3-041-VEC,Cedar Commons - Farmers market identity restoration,Vector & Print,Cedar Commons Farmers Market,"Fresh, local, every Saturday.","A volunteer-run weekend farmers market in a municipal park, free to the public, funded by daily stall fees.","Founded 2016, in a park in Burlington, Vermont. Volunteer-run, 36 to 44 stalls, open weekends May through October.","Cedar Commons is a neighbourhood farmers market that runs on weekends in a Burlington park, free to walk into and funded entirely by the vendors who pay a daily stall fee. It has outgrown its chalkboards and its bedsheet banner. The signage exists to get families to the right lot, past the entrance and to the stall they are looking for, printed cheaply and well at a local sign shop.","Neighbourhood families and weekend walkers who arrive on foot or park in the wrong lot, plus the vendors and volunteers who run the morning. Read from a moving car and from across a field.","A free public market funded by 25 to 60 dollar daily stall fees, often part-donated. Everything prints on coroplast and vinyl at a local sign shop. Flat inks and heavy type, never a refined tint palette that would be unreadable outdoors and would make a free market look like it is charging.","cheerful, practical, neighbourly, legible, unpretentious, outdoorsy","Meadow Green #3F7D44
Barn Red #B23A2E
Harvest Gold #E0A526
Sign White #FBFAF5
Cedar Ink #23301F","Display is Archer Bold (slab serif, 700), used for the market name and poster headline: 180 pt on the 420 by 594 mm poster, 96 pt for the trader name on a stall sign. Wayfinding and schedule copy is Interstate Bold (sans, 700) at 60 pt for subheads and Interstate Regular (400) at 18 pt on 24 pt leading for stall listings. The market name is always Archer Bold caps, tightly tracked. Never set the market name in Interstate, and never drop sign copy below 36 pt.","Warm, plain and welcoming, like a volunteer at the gate. Example line: ""Cheerful, legible from a distance, few colours, and it lives outdoors in the rain. Not precious. Tell us what our mark can and cannot do.""","Community and thrift. Recover the real mark rather than replace it, keep the set to a few flat inks that print cheaply, and tell the committee what the mark can and cannot do before they pay for plates.","The market mark was drawn nine years ago by a volunteer's cousin, who is not reachable, and screen-printed onto aprons and tote bags. No file of any kind was ever kept. The best surviving copy is a photograph of one apron folded on a picnic table. There is no vector art, so the mark has to be recovered from that photograph rather than redrawn."
SB3-042-VEC,Static Union - Manufacturing artwork system,Vector & Print,Static Union,"Two drops a year, made to be worn out","Independent streetwear label making garments and, from this autumn, small goods (pins, patches, stickers) for a young direct and wholesale audience.","Founded 2016, Portland, Oregon. An eight person independent label run out of one studio.","Static Union is a small Portland label that puts out two considered drops a year and sells them direct and through roughly forty specialist stockists. The marks came out of the founder's own hand and the early tee runs, and they have been carried on garments for two seasons. Autumn is the first move into small goods, so the same marks now have to survive being made rather than printed.","Buyers roughly 17 to 30 who follow small labels, shop drops rather than seasons, and buy direct or from specialist streetwear stockists. They notice when a pack does not match.","Accessible independent streetwear. Stickers at 4 dollars, pins at 14, patches at 18, wholesale to about forty stockists. Priced to be cheap enough to collect and good enough to keep, never luxury.","understated, durable, self-made, unfussy, loyal, graphic","Union Black #141414
Bone #EDE7DA
Bolt Red #C0392B
Rail Gold #C79A3B
Slate #4A5560","Display is Champion Gothic Bantamweight (heavy condensed grotesque), used for the label name, drop titles and section heads in the supplier guide: 30 pt for section heads, 18 pt for page titles. Stockist and body copy is Basis Grotesque Regular (400) at 9.5 pt on 13 pt leading. Tolerances, sizes and part codes sit in Basis Grotesque Mono Regular at 8 pt so the figures align in the spec tables. Never stretch or condense Champion to fill a box, and never set a mark name in the mono.","Direct, plain, a little dry, talking to its own buyers rather than advertising. A line the brand would write: ""Autumn small goods. Twelve pieces, made to last, gone when they are gone.""",Make a small number of things properly and stand behind the drop. A pack that does not match is not a pack.,"There is no proper brand kit. The four marks that matter survive only as whatever files people happened to send back over three years: two came from a printer, one exists only as a photograph of a woven cap label because the file is gone, and one came out of an old tee artwork folder. They look fine on screen and have been used for two years, but there are no editable masters."
