Task code,Task ID,Capability,Capability name,Question ID,Source question,Source classification,Supporting acceptance checks,Human review cases,Trajectory criteria,Status,Review page,Complete mapping
SB3-001-PHO,PHOTO-01,K4,Creative quality,K4_Q1,Is there a clear creative idea or point of view including coherent ideas?,Expert judgement,0,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K4,Creative quality,K4_Q2,"Is the creative direction appropriate to the goal, audience, and context?",Expert judgement,0,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K4,Creative quality,K4_Q3,"Does the solution avoid feeling generic, templated, or interchangeable?",Expert judgement,0,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K5,Communication effectiveness,K5_Q1,Can an uninformed viewer identify the main message?,Orange in source,0,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K5,Communication effectiveness,K5_Q2,Do they notice the most important information first?,Orange in source,0,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K5,Communication effectiveness,K5_Q3,Can they correctly identify important supporting details?,Expert judgement,24,37,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K5,Communication effectiveness,K5_Q5,Is the message understandable to the intended audience?,Expert judgement,0,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K5,Communication effectiveness,K5_Q6,Does the artifact imply anything materially wrong?,Expert judgement,1,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K6,Agentic competence,K6_Q1,"Did the agent perform actions in a sensible dependency order, completing prerequisites before dependent steps?",Expert judgement,0,0,1,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K6,Agentic competence,K6_Q2,"Did the agent choose appropriate tools, operations, and settings for each step of the task?",Expert judgement,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K6,Agentic competence,K6_Q3,"Did the agent consistently operate on the correct and latest files, versions, selections, and intermediate outputs?",Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K6,Agentic competence,K6_Q4,"Did the agent’s actions meaningfully advance, inspect, or validate the task without unnecessary repetition or loops?",Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K6,Agentic competence,K6_Q5,Did the agent detect failures or poor results and adapt its strategy effectively?,Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K6,Agentic competence,K6_Q6,Did the agent verify the relevant output properties before submission and stop when the commission was ready?,Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K6,Agentic competence,K6_Q7,"Did the agent accurately disclose missing information, limitations, failures, or incomplete work rather than claiming success?",Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K6,Agentic competence,K6_Q8,Was the agent’s confidence in task success consistent with the actual quality and completeness of the final outcome?,Expert judgement,0,0,1,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,Phase 0,Readiness,P0_TASK_Q1,Does the task state one specific deliverable -exactly what to produce?,Orange in source,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,Phase 0,Readiness,P0_TASK_Q2,Can the task be completed using only the supported tools?,Expert judgement,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,Phase 0,Readiness,P0_TASK_Q3,Is the task free of any finished version or near-copy of the deliverable (no leaked answer)?,Expert judgement,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,Phase 0,Readiness,P0_TASK_Q4,Can an expert begin without needing to ask the client for clarification?,Expert judgement,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,Phase 0,Readiness,P0_TASK_Q5,"Is a fictional client/brand attached, with no real proprietary data used?",Orange in source,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,Phase 0,Readiness,P0_TASK_Q6,Sits at the right difficulty level and not trivial,Orange in source,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,Phase 0,Readiness,P0_TASK_Q7,Reads like a real professional task,Orange in source,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K1,Instruction adherence,K1_Q1,"Are all required text, objects, data, scenes, etc. present?",Orange in source,72,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K1,Instruction adherence,K1_Q2,"Are dimensions, formats, quantities, durations, colors, etc. correct?",Orange in source,44,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K1,Instruction adherence,K1_Q3,"Did it obey “must,” “must not,” preservation, or production constraints?",Orange in source,126,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K1,Instruction adherence,K1_Q4,Were all requested output files/variants delivered?,Orange in source,12,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K1,Instruction adherence,K1_Q5,Did it violate any requirement that independently makes the commission unusable?,Orange in source,0,12,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K2,Asset utilization and fidelity,K2_Q1,Did it use the correct supplied assets?,Orange in source,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K2,Asset utilization and fidelity,K2_Q2,Were locked assets preserved rather than regenerated/distorted?,Orange in source,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K2,Asset utilization and fidelity,K2_Q3,"Are fonts, colors, logo use, imagery rules, etc. correct?",Orange in source,0,30,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K2,Asset utilization and fidelity,K2_Q4,"Are products, people, logos, or distinctive objects still recognizably the same?",Orange in source,10,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K2,Asset utilization and fidelity,K2_Q5,Were assets used in the correct role/context rather than merely included?,Expert judgement,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K3,Compositional craft,K3_Q1,Operation Craft: assess the applicable family checklist below.,Expert judgement,10,60,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K4,Creative quality,K4_Q1,Is there a clear creative idea or point of view including coherent ideas?,Expert judgement,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K4,Creative quality,K4_Q2,"Is the creative direction appropriate to the goal, audience, and context?",Expert judgement,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K4,Creative quality,K4_Q3,"Does the solution avoid feeling generic, templated, or interchangeable?",Expert judgement,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K5,Communication effectiveness,K5_Q1,Can an uninformed viewer identify the main message?,Orange in source,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K5,Communication effectiveness,K5_Q2,Do they notice the most important information first?,Orange in source,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K5,Communication effectiveness,K5_Q3,Can they correctly identify important supporting details?,Expert judgement,40,50,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K5,Communication effectiveness,K5_Q5,Is the message understandable to the intended audience?,Expert judgement,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K5,Communication effectiveness,K5_Q6,Does the artifact imply anything materially wrong?,Expert judgement,0,10,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K6,Agentic competence,K6_Q1,"Did the agent perform actions in a sensible dependency order, completing prerequisites before dependent steps?",Expert judgement,0,0,1,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K6,Agentic competence,K6_Q2,"Did the agent choose appropriate tools, operations, and settings for each step of the task?",Expert judgement,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K6,Agentic competence,K6_Q3,"Did the agent consistently operate on the correct and latest files, versions, selections, and intermediate outputs?",Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K6,Agentic competence,K6_Q4,"Did the agent’s actions meaningfully advance, inspect, or validate the task without unnecessary repetition or loops?",Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K6,Agentic competence,K6_Q5,Did the agent detect failures or poor results and adapt its strategy effectively?,Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K6,Agentic competence,K6_Q6,Did the agent verify the relevant output properties before submission and stop when the commission was ready?,Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K6,Agentic competence,K6_Q7,"Did the agent accurately disclose missing information, limitations, failures, or incomplete work rather than claiming success?",Orange in source,0,0,2,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,K6,Agentic competence,K6_Q8,Was the agent’s confidence in task success consistent with the actual quality and completeness of the final outcome?,Expert judgement,0,0,1,awaiting_execution,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,Phase 0,Readiness,P0_TASK_Q1,Does the task state one specific deliverable -exactly what to produce?,Orange in source,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,Phase 0,Readiness,P0_TASK_Q2,Can the task be completed using only the supported tools?,Expert judgement,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,Phase 0,Readiness,P0_TASK_Q3,Is the task free of any finished version or near-copy of the deliverable (no leaked answer)?,Expert judgement,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,Phase 0,Readiness,P0_TASK_Q4,Can an expert begin without needing to ask the client for clarification?,Expert judgement,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,Phase 0,Readiness,P0_TASK_Q5,"Is a fictional client/brand attached, with no real proprietary data used?",Orange in source,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,Phase 0,Readiness,P0_TASK_Q6,Sits at the right difficulty level and not trivial,Orange in source,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-002-PHO,PHOTO-02,Phase 0,Readiness,P0_TASK_Q7,Reads like a real professional task,Orange in source,0,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-02/CAPABILITY_MAPPING.json
SB3-003-PHO,PHOTO-03,K1,Instruction adherence,K1_Q1,"Are all required text, objects, data, scenes, etc. present?",Orange in source,6,5,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-03/CAPABILITY_MAPPING.json
SB3-003-PHO,PHOTO-03,K1,Instruction adherence,K1_Q2,"Are dimensions, formats, quantities, durations, colors, etc. correct?",Orange in source,22,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-03/CAPABILITY_MAPPING.json
SB3-003-PHO,PHOTO-03,K1,Instruction adherence,K1_Q3,"Did it obey “must,” “must not,” preservation, or production constraints?",Orange in source,38,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-03/CAPABILITY_MAPPING.json
SB3-003-PHO,PHOTO-03,K1,Instruction adherence,K1_Q4,Were all requested output files/variants delivered?,Orange in source,8,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-03/CAPABILITY_MAPPING.json
SB3-003-PHO,PHOTO-03,K1,Instruction adherence,K1_Q5,Did it violate any requirement that independently makes the commission unusable?,Orange in source,0,8,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-03/CAPABILITY_MAPPING.json
SB3-003-PHO,PHOTO-03,K2,Asset utilization and fidelity,K2_Q1,Did it use the correct supplied assets?,Orange in source,1,5,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-03/CAPABILITY_MAPPING.json
SB3-003-PHO,PHOTO-03,K2,Asset utilization and fidelity,K2_Q2,Were locked assets preserved rather than regenerated/distorted?,Orange in source,0,5,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-03/CAPABILITY_MAPPING.json
SB3-003-PHO,PHOTO-03,K2,Asset utilization and fidelity,K2_Q3,"Are fonts, colors, logo use, imagery rules, etc. correct?",Orange in source,0,15,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-03/CAPABILITY_MAPPING.json
SB3-003-PHO,PHOTO-03,K2,Asset utilization and fidelity,K2_Q4,"Are products, people, logos, or distinctive objects still recognizably the same?",Orange in source,0,5,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-03/CAPABILITY_MAPPING.json
