Task code,Task name,Family,Legacy ID,Client brief,Outputs,Assets,Auto verifiers,Human verifiers,S3 prefix,Review page,Release status
SB3-011-PHO,Lumora - Lip oil shade concept set,Photo & Image,PHOTO-11,"Lip-oil shade concepts for a launch that has one physical sample

Important before you quote: Lumora has one physical lip-oil sample, not seven approved production shades. This is concept-colour work. Every result must say CONCEPT COLOR - SAMPLE APPROVAL REQUIRED.

Final handoff

 Retailer shade card: 8 named exports. The bottle keeps the approved packaging geometry. The concept-colour notice is readable. The displayed shade agrees with its shade name.

 Seven-shade comparison: 1 named export. The seven approved shade names are present. The shades appear in the approved range order. The concept-colour notice is readable.

 Lip oil product-page module: 1 named export. The product name is accurate. The benefit uses the approved claim wording. The concept-colour notice is readable.

 Lip oil launch feed ad: 1 named export. Lumora is identified. The call to action is readable at mobile size. The product edge has no visible halo. The concept-colour notice is readable.

 Lip oil launch story: 1 named export. The headline is readable at mobile size. The call to action remains within the safe area. The concept-colour notice is readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Every shade concept must show CONCEPT COLOR - SAMPLE APPROVAL REQUIRED. Only Amber Hour is the physical-sample reference.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",17,23,83,127,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-011-PHO__lumora-lip-oil-shade-concept-set/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-11,held
SB3-012-PHO,Kilnmore - Ceramic ecommerce image system,Photo & Image,PHOTO-12,"A coherent ceramics range, with the glaze differences left intact

We sell the surface as much as the form at Kilnmore. Fourteen pieces and their glaze details need to become one usable product image library, but the work should not flatten the glazes into the same colour or texture.

Scope
1. Ceramic product-page module: 14 named exports. The vessel geometry matches the named product. The glaze retains its material texture.
2. Wholesale range one-sheet: 1 named export. The range names agree with the supplied register. Trade information is easy to scan.
3. Ceramic range launch carousel: 5 named exports. Kilnmore is identified on the opening page. The range sequence makes product differences clear.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",23,26,90,212,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-012-PHO__kilnmore-ceramic-ecommerce-image-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-12,held
SB3-013-PHO,Argent and Faith - Spring jewelry capsule photography,Photo & Image,PHOTO-13,"Silver jewellery retouching with an honest plan for open centres

Argent & Faith needs ten seasonal pieces prepared as a consistent listing set. The silver should read as silver, with a common light and scale across the range. We do not want the high polish turned into featureless grey.

What we need back
- Jewellery capsule campaign poster: 1 named export. The jewellery remains the primary visual focus. The campaign identifies Argent and Faith.
- Jewellery product detail: 10 named exports. The stone setting matches the named piece. Metal colour remains believable.
- Retailer capsule look sheet: 1 named export. Product labels identify the pictured pieces. The layout communicates the capsule relationship.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",15,15,59,130,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-013-PHO__argent-and-faith-spring-jewelry-capsule-photography/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-13,held
SB3-014-PHO,Girdermark - Industrial component image system,Photo & Image,PHOTO-14,"Catalogue-ready component photography, including difficult internal openings

Girdermark sells replacement components. A buyer needs to recognise the finish and the shape, not admire a dramatic studio treatment. Our twelve components were photographed over two bench sessions and need a consistent technical presentation.

The commission

 Industrial SKU plate: 12 named exports. The part geometry agrees with the source component. Surface defects affecting identification remain visible.

 Industrial SKU cutout: 12 named exports. The silhouette preserves all functional holes. The edge has no visible halo.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",25,16,111,146,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-014-PHO__girdermark-industrial-component-image-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-14,held
SB3-015-PHO,Summit and Sable - Recovery-gear launch campaign,Photo & Image,PHOTO-15,"Recovery-gear image system with a controlled Ridge Blue colourway

We need Summit & Sable's field and bench photographs to read as one recovery-gear range. There are twenty supplied captures, with webbing, stitching and hardware that need to remain convincing at close range.

Deliverables
1. Recovery-gear launch poster: 1 named export. The actual Summit and Sable equipment is shown. The poster contains no unsupported safety claim.
2. Recovery equipment product-page module: 9 named exports. The component geometry matches the named equipment. The load or use wording matches supplied approved copy.
3. Recovery-gear dealer sheet: 1 named export. The range is clearly identified. Specifications are readable at print size.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",14,24,55,119,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-015-PHO__summit-and-sable-watch-campaign-master-set/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-15,held
SB3-016-PHO,SlabVault - Collectible card marketplace image system,Photo & Image,PHOTO-16,"Consignment listing photographs where the holder and label remain legible

SlabVault handles graded collectibles. A listing photograph has to show the item and the evidence around it: holder, label and seal. Glare is a problem in the current set, but we cannot replace unreadable information with a convincing guess.

Please prepare
- Collectible listing front: 14 named exports. The card identity matches the lot. Condition defects remain visible.
- Collectible condition detail: 14 named exports. The holder details are legible. The photograph does not imply a different grade.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",30,18,118,340,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-016-PHO__slabvault-collectible-card-marketplace-image-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-16,held
SB3-017-PHO,Continental Cup - Player portrait card system,Photo & Image,PHOTO-17,"Eight-player card run with matched portraits and checked player identities

Continental Cup needs the eight-player release prepared from the supplied portraits and roster. The pictures come from two stadium lighting rigs; the cards come from a printer's PDF we need to make usable again.

Final handoff

 Player press card: 9 named exports. The portrait belongs to the named player. The player number is legible. The competition identity is visible.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",10,13,62,114,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-017-PHO__continental-cup-player-portrait-card-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-17,held
SB3-018-PHO,Fernwell and Rowe - Hartley wedding gallery finishing,Photo & Image,PHOTO-18,"Wedding retouching pilot: one warm house look across changing light

We are Fernwell & Rowe, and this is a pilot using the Hartley wedding shortlist. There are sixteen photographs spanning window light, golden hour and the reception. We want a natural warm treatment that holds together through those changes without giving every person the same skin colour.

Scope
1. Wedding review image: 16 named exports. The people retain their source identities. Skin retains natural texture. The scene remains faithful to the event.
2. Full-resolution wedding keeper: 6 named exports. The keeper matches the explicitly supplied selection. Highlight detail is retained where present in the source.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",22,21,60,82,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-018-PHO__fernwell-and-rowe-hartley-wedding-gallery-finishing/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-18,held
SB3-019-PHO,Cascadia Founders Summit - Executive portrait set,Photo & Image,PHOTO-19,"Conference speaker portraits from eighteen very different submissions

Our Cascadia Founders Summit speakers have sent their own photographs. They need to sit together in the programme, in tight squares and on wide stage screens. Please make them look like one event without making the people look alike.

What we need back
- Summit speaker card: 18 named exports. The portrait belongs to the named speaker. The role is readable at mobile size. The summit identity is visible.
- Summit announcement: 1 named export. The event name is clear. The approved date is visible. The registration action is readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",21,23,82,228,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-019-PHO__cascadia-founders-summit-executive-portrait-set/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-19,held
SB3-020-PHO,Astrid Vellacourt - Editorial portrait session,Photo & Image,PHOTO-20,"A coherent speaking and investor image set for an industrial-design founder

I am preparing speaking and investor materials for Astrid Vellacourt. The photographs and supporting pieces need to feel like the same person and practice: considered, credible and recognisably connected to industrial design.

The commission

 Speaker booking one-pager: 1 named export. The biography preserves approved facts. The talk offer is clear. The booking contact is readable.

 Event-specific speaker announcement: 1 named export. The event name is visible. The event date matches the supplied talk record. The speaker name is clear.

 Speaker event banner: 1 named export. The banner identifies the specific talk. The speaker portrait is recognisable.

 Speaker talk card: 9 named exports. The talk title matches this record. The event identity is visible.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",16,15,84,127,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-020-PHO__astrid-vellacourt-editorial-portrait-session/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-20,held
SB3-021-PHO,Quill and Kiln - Autumn ceramics signature look,Photo & Image,PHOTO-21,"An autumn image library that still looks like my ceramics

Hi, I am Marlo Quill, the maker behind Quill & Kiln. I have a month's worth of photographs from my phone and a borrowed camera, taken under four different kinds of light. I need help turning them into a usable autumn collection.

Deliverables
1. Autumn studio journal carousel: 6 named exports. The image sequence tells a coherent making story. The captions match the pictured work.
2. Studio journal feature: 1 named export. The typography supports an editorial reading order. The feature identifies Quill and Kiln.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",9,24,35,53,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-021-PHO__quill-and-kiln-autumn-ceramics-signature-look/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-21,held
SB3-022-PHO,Nordhaven - Harbour hotel booking campaign,Photo & Image,PHOTO-22,"Give a small harbour hotel a distinct look without losing room accuracy

Nordhaven occupies a harbour warehouse with fourteen rooms. We want a distinctive image treatment for the brand, while keeping one room hero true to colour so guests can see what they are booking.

Please prepare
- Harbour hotel booking hero: 1 named export. The scene is the supplied Nordhaven property. The booking action is clear.
- Hotel amenity panel: 1 named export. The named amenities are supported by the source pack. The information is easy to scan.
- Hotel room campaign: 14 named exports. The room photograph matches this room category. The advertised rate preserves its supplied conditions.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",19,22,73,174,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-022-PHO__nordhaven-outerwear-signature-image-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-22,held
SB3-023-PHO,Ironline Forge - Blacksmith editorial image set,Photo & Image,PHOTO-23,"Foundry photographs for architects: one dark treatment, visible material

The furnace and rooflight give us two very different versions of Ironline Forge. We need an experienced retoucher to bring them together for architectural audiences and the expo.

Final handoff

 Architectural foundry editorial feature: 1 named export. The sequence explains the foundry's casting work. Tool and material detail remains credible.

 Foundry exhibition poster: 1 named export. The architectural casting offer uses approved copy. The specifier contact is readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",4,18,16,18,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-023-PHO__ironline-forge-blacksmith-editorial-image-set/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-23,held
SB3-024-PHO,Lunara Chronometry - Autumn watch campaign,Photo & Image,PHOTO-24,"Watch campaign treatment plus colour-accurate dealer product files

Two kinds of files are needed for Lunara Chronometry, and they must not be confused. The campaign can carry our tonal treatment; the dealer needs clean product files, including a dial-finish reference that stays true to colour.

Scope
1. Autumn watch key visual: 1 named export. The watch dial matches the approved reference. The watch remains the dominant visual.
2. Watch product-page feature: 5 named exports. The case geometry matches the named watch. The specification wording is accurate.
3. Watch dealer launch sheet: 1 named export. Model identities are unambiguous. The layout reflects the stated price position.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",10,23,38,70,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-024-PHO__lunara-chronometry-autumn-watch-campaign/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-24,held
SB3-025-PHO,Apexguard - Industrial surfaces launch photography,Photo & Image,PHOTO-25,"Apexguard imagery and recovered logo for a tightly defined six-SKU release

Release scope: six product SKUs
- V-PPF-104, V-PPF-105 and V-PPF-107
- U-TNT-204 and U-TNT-208
- F-HW-301

What we need back
- Industrial surfaces dealer poster: 1 named export. The correct Apexguard sub-brand is used. The advertised application is supported by source imagery.
- Surface product-page module: 6 named exports. The product variant is identified accurately. The surface finish retains its source texture.
- Sub-brand application sheet: 1 named export. The sub-brand hierarchy is clear. The approved master lettering is preserved.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",11,23,43,86,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-025-PHO__apexguard-industrial-surfaces-launch-photography/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-25,held
SB3-026-PHO,Thornmere Home - Autumn interiors image system,Photo & Image,PHOTO-26,"Wholesale product images that keep indigo and reactive glaze honest

Our homeware photographs were made under two lighting rigs. Thornmere needs the twenty ceramic and textile pieces to work as a range, both in retailer tiles and on a coloured wholesale band.

The commission

 Autumn interiors collection spread: 1 named export. The textiles preserve their source patterns. The styled grouping feels coherent.

 Interiors wholesale presentation: 1 named export. Each featured object has its correct product name. The page sequence supports a trade buying conversation.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",4,23,16,18,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-026-PHO__thornmere-home-autumn-interiors-image-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-26,held
SB3-027-PHO,Fennhollow - Botanical soda summer campaign,Photo & Image,PHOTO-27,"Build a believable soda image set around two imperfect packshots

Fennhollow has two packshots that have already been pushed too far in retouching, and no lifestyle shoot. We need a product retoucher with a good eye for licensing compatible photography and for knowing when to stop correcting a damaged source.

Deliverables
1. Botanical soda summer key visual: 1 named export. The can artwork matches the approved product. The headline and can have a clear hierarchy.
2. Botanical ingredient carousel: 5 named exports. The featured ingredients match approved copy. The closing page contains the approved shopping action.
3. Soda retail display poster: 1 named export. The brand is visible at viewing size. The pack remains recognisable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",10,8,38,51,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-027-PHO__fennhollow-botanical-soda-summer-campaign/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-27,held
SB3-028-PHO,Verda Reformer Studio - Fitness campaign image system,Photo & Image,PHOTO-28,"A calm launch image system for a reformer studio with a limited shoot

Verda is a reformer studio, and the launch should feel calm, approachable and grounded in the room we actually have. Our two room photographs are dusky. We need them prepared alongside suitable licensed movement imagery, not replaced by a fictional studio.

Please prepare
- Studio launch-page composition: 1 named export. The studio location is accurate. The class offer is clear. The booking action is visible.
- Class announcement: 1 named export. The class details match the approved roster. The pictured instructor is identified accurately.
- Studio booking story: 1 named export. The booking action is inside the safe area. The studio identity is readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",6,12,21,28,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-028-PHO__verda-reformer-studio-fitness-campaign-image-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-28,held
