Task code,Task ID,Question ID,Check ID,Deliverable,Output file,Review criterion,Approved reference,Assessment basis,Reference status,Applicability,Status,Answer (Yes/No)
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r002/K3_Q1/K3_PHOTO_06,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,"Cohesive, intentional grade.","{""criterion"":""Look / grade integrity"",""minor"":""slightly uneven"",""major"":""artificial or broken look"",""output_kind"":""pdp""}",subjective_expert_review,,Review Look / grade integrity only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K4_Q1,PHOTO-01/pdp-r002/K4_Q1/creative_review,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,A clear creative idea shapes the treatment.,"{""commission"":""Skincare product-page module - Clarity Vitamin C Serum"",""brand"":""Aurelian Skin"",""brief"":""BRIEF.md""}",subjective_expert_review,,"For faithful restoration or reproduction, judge intentional treatment within the permissions, not novelty that would change the source.",not_assessed,
SB3-001-PHO,PHOTO-01,K4_Q2,PHOTO-01/pdp-r002/K4_Q2/creative_review,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The creative direction addresses the commissioned purpose.,"{""commission"":""Skincare product-page module - Clarity Vitamin C Serum"",""brand"":""Aurelian Skin"",""brief"":""BRIEF.md""}",subjective_expert_review,,"For faithful restoration or reproduction, judge intentional treatment within the permissions, not novelty that would change the source.",not_assessed,
SB3-001-PHO,PHOTO-01,K4_Q3,PHOTO-01/pdp-r002/K4_Q3/creative_review,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The treatment has a distinctive point of view.,"{""commission"":""Skincare product-page module - Clarity Vitamin C Serum"",""brand"":""Aurelian Skin"",""brief"":""BRIEF.md""}",subjective_expert_review,,"For faithful restoration or reproduction, judge intentional treatment within the permissions, not novelty that would change the source.",not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q3,PHOTO-01/pdp-r002/K2_Q3/palette,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Graphic colours follow the approved brand palette.,"{""brand"":""Aurelian Skin"",""palette"":[{""name"":""Clinical White"",""hex"":""#F4F6F7""},{""name"":""Graphite"",""hex"":""#232729""},{""name"":""Cool Mineral Grey"",""hex"":""#9BA5AA""},{""name"":""Signal Blue"",""hex"":""#3E6076""}],""exceptions"":""Photographic colours and explicit brief exceptions are not palette violations.""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q3,PHOTO-01/pdp-r002/K2_Q3/typography,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Typography follows the supplied brand type guidance.,"""One restrained type system for all launch collateral: a clean grotesque for names and body copy carrying the ingredient literacy, with a single quiet display cut for the wordmark. Strong typography and whitespace do the work, no decorative faces.""",human_judgement,,Applies when text is present. A style-only brand guide requires expert judgement; no exact font name is invented.,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q3,PHOTO-01/pdp-r002/K2_Q3/logo,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Logo treatment follows the identity permissions in the brief.,"""The original logo file was lost when the first designer's drive failed. All that survives is a handheld photograph of an outer carton showing the mark printed in one deep ink: a small-caps lockup set around a monogram, separated by a hairline rule. Recovering that mark as usable artwork is part of this engagement. No other source brand files remain.""",human_judgement,,Applies when a logo is required or used. Recovery briefs permit reconstruction; do not impose a false locked-logo rule.,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q1,PHOTO-01/pdp-r002/K5_Q1/message,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,An unbriefed viewer identifies “Clarity Vitamin C Serum” as the subject.,"{""text"":""Clarity Vitamin C Serum"",""source_check_id"":""PHOTO-01/pdp-r002/H003""}",human_judgement,defined,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q2,PHOTO-01/pdp-r002/K5_Q2/hierarchy,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The viewer notices the intended focal element first.,"""The product benefit is visually subordinate to the product name.""",human_judgement,requires_reviewer_focal_anchor,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q5,PHOTO-01/pdp-r002/K5_Q5/audience,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The intended audience understands the message without extra explanation.,"""Women roughly twenty six to forty two, ingredient literate, who research formulations and trust plainness over promise. They shop web stores and specialty beauty floors and judge a product by its panel.""",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q3,PHOTO-01/pdp-r002/K5_Q3/detail-H002,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,"At full export size, the bottle label text is not cut off.","{""check_id"":""PHOTO-01/pdp-r002/H002"",""condition"":""Skincare product-page image - Clarity Vitamin C Serum (pdp-r002.png): At full export size, the bottle label text is not cut off."",""expected"":null}",human_observation,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q3,PHOTO-01/pdp-r002/K5_Q3/detail-H003,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The viewer can read the approved product name without the brief.,"{""check_id"":""PHOTO-01/pdp-r002/H003"",""condition"":""Skincare product-page image - Clarity Vitamin C Serum (pdp-r002.png): Product name reads exactly “Clarity Vitamin C Serum”."",""expected"":""Clarity Vitamin C Serum""}",human_observation,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q3,PHOTO-01/pdp-r002/K5_Q3/detail-H004,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The viewer can read the approved claim without the brief.,"{""check_id"":""PHOTO-01/pdp-r002/H004"",""condition"":""Skincare product-page image - Clarity Vitamin C Serum (pdp-r002.png): Claim reads exactly “Supports visible brightness and even tone.”"",""expected"":""Supports visible brightness and even tone.""}",human_observation,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q3,PHOTO-01/pdp-r002/K5_Q3/detail-H005,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The viewer can read the approved price without the brief.,"{""check_id"":""PHOTO-01/pdp-r002/H005"",""condition"":""Skincare product-page image - Clarity Vitamin C Serum (pdp-r002.png): Price reads exactly “$48”."",""expected"":""$48""}",human_observation,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q6,PHOTO-01/pdp-r002/K5_Q6/implication,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The design does not imply an unsupported factual claim.,"{""approved_copy"":{""Product Name"":""Clarity Vitamin C Serum"",""INCI"":""Aqua, Ascorbic Acid, Propylene Glycol, Ferulic Acid, Tocopherol, Sodium Hyaluronate"",""Claim"":""Supports visible brightness and even tone."",""Price"":""$48"",""Picture"":""aurelian_launch_shoot_01.jpg""},""brief"":""BRIEF.md"",""brand"":""Aurelian Skin""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K1_Q5,PHOTO-01/pdp-r003/K1_Q5/blocking_defect,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,No defect blocks the commissioned use of this file.,"""Output contract for pdp-r003. A No needs the exact failed requirement and why it prevents use.""",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q1,PHOTO-01/pdp-r003/K2_Q1/source_selection,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Placed client artwork comes from the supplied source pack.,"""aurelian_launch_shoot_02.jpg""",human_judgement,,Applies to client artwork that the brief requires reusing. Authorised new drawings or stock imagery are not falsely treated as supplied artwork.,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q2,PHOTO-01/pdp-r003/K2_Q2/source_permission,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Source changes stay within the permissions in the client brief.,"{""source_files"":""aurelian_launch_shoot_02.jpg"",""permissions"":[""Do not invent names, prices, claims, product features, locations, credentials, records, or documentary events that are absent from the approved inputs."",""Do not silently replace a weak supplied asset. Use it honestly, reject it with a reason, or take only the brief's declared Stock or concept exception."",""Record every omission, substitution, reconciliation, and material quality compromise in the delivery manifest."",""Preserve identity, product geometry, material behavior, and documentary truth; retouching may improve presentation but may not change what the subject is.""],""brief"":""BRIEF.md""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q4,PHOTO-01/pdp-r003/K2_Q4/identity,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The depicted subject retains its identifying features from the source.,"""aurelian_launch_shoot_02.jpg""",human_judgement,,"Applies to an identifiable product, person, logo or distinctive object. Otherwise record not applicable with a reason; do not mark Yes.",not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q5,PHOTO-01/pdp-r003/K2_Q5/role,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The selected source artwork serves the commissioned purpose.,"{""source_files"":""aurelian_launch_shoot_02.jpg"",""commission"":[""The photograph shows the product named on this module."",""The bottle label remains legible at the delivered size."",""The product benefit is visually subordinate to the product name.""],""brief"":""BRIEF.md""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r003/K3_Q1/K3_PHOTO_01,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Balanced; highlights and shadows hold detail.,"{""criterion"":""Exposure & tone"",""minor"":""slightly off but recoverable"",""major"":""clipped — detail lost"",""output_kind"":""pdp""}",subjective_expert_review,,Review Exposure & tone only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r003/K3_Q1/K3_PHOTO_02,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Neutral or on-brand; skin tones natural.,"{""criterion"":""Colour & white balance"",""minor"":""slight cast"",""major"":""clear cast / wrong colour"",""output_kind"":""pdp""}",subjective_expert_review,,Review Colour & white balance only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r003/K3_Q1/K3_PHOTO_03,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Clean edges; fine detail (hair) kept.,"{""criterion"":""Mask & edge quality"",""minor"":""small halo or jaggies"",""major"":""visible halo / clipped subject"",""output_kind"":""pdp""}",subjective_expert_review,,Review Mask & edge quality only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r003/K3_Q1/K3_PHOTO_04,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Clean and natural.,"{""criterion"":""Blemish & artefact removal"",""minor"":""a few left, or faint over-smoothing"",""major"":""artefacts remain / skin looks plastic"",""output_kind"":""pdp""}",subjective_expert_review,,Review Blemish & artefact removal only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r003/K3_Q1/K3_PHOTO_05,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Realistic micro-detail.,"{""criterion"":""Texture & detail preserved"",""minor"":""slightly soft"",""major"":""detail smeared or lost"",""output_kind"":""pdp""}",subjective_expert_review,,Review Texture & detail preserved only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r003/K3_Q1/K3_PHOTO_06,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,"Cohesive, intentional grade.","{""criterion"":""Look / grade integrity"",""minor"":""slightly uneven"",""major"":""artificial or broken look"",""output_kind"":""pdp""}",subjective_expert_review,,Review Look / grade integrity only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K4_Q1,PHOTO-01/pdp-r003/K4_Q1/creative_review,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,A clear creative idea shapes the treatment.,"{""commission"":""Skincare product-page module - Even Niacinamide Serum"",""brand"":""Aurelian Skin"",""brief"":""BRIEF.md""}",subjective_expert_review,,"For faithful restoration or reproduction, judge intentional treatment within the permissions, not novelty that would change the source.",not_assessed,
SB3-001-PHO,PHOTO-01,K4_Q2,PHOTO-01/pdp-r003/K4_Q2/creative_review,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The creative direction addresses the commissioned purpose.,"{""commission"":""Skincare product-page module - Even Niacinamide Serum"",""brand"":""Aurelian Skin"",""brief"":""BRIEF.md""}",subjective_expert_review,,"For faithful restoration or reproduction, judge intentional treatment within the permissions, not novelty that would change the source.",not_assessed,
SB3-001-PHO,PHOTO-01,K4_Q3,PHOTO-01/pdp-r003/K4_Q3/creative_review,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The treatment has a distinctive point of view.,"{""commission"":""Skincare product-page module - Even Niacinamide Serum"",""brand"":""Aurelian Skin"",""brief"":""BRIEF.md""}",subjective_expert_review,,"For faithful restoration or reproduction, judge intentional treatment within the permissions, not novelty that would change the source.",not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q3,PHOTO-01/pdp-r003/K2_Q3/palette,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Graphic colours follow the approved brand palette.,"{""brand"":""Aurelian Skin"",""palette"":[{""name"":""Clinical White"",""hex"":""#F4F6F7""},{""name"":""Graphite"",""hex"":""#232729""},{""name"":""Cool Mineral Grey"",""hex"":""#9BA5AA""},{""name"":""Signal Blue"",""hex"":""#3E6076""}],""exceptions"":""Photographic colours and explicit brief exceptions are not palette violations.""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q3,PHOTO-01/pdp-r003/K2_Q3/typography,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Typography follows the supplied brand type guidance.,"""One restrained type system for all launch collateral: a clean grotesque for names and body copy carrying the ingredient literacy, with a single quiet display cut for the wordmark. Strong typography and whitespace do the work, no decorative faces.""",human_judgement,,Applies when text is present. A style-only brand guide requires expert judgement; no exact font name is invented.,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q3,PHOTO-01/pdp-r003/K2_Q3/logo,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,Logo treatment follows the identity permissions in the brief.,"""The original logo file was lost when the first designer's drive failed. All that survives is a handheld photograph of an outer carton showing the mark printed in one deep ink: a small-caps lockup set around a monogram, separated by a hairline rule. Recovering that mark as usable artwork is part of this engagement. No other source brand files remain.""",human_judgement,,Applies when a logo is required or used. Recovery briefs permit reconstruction; do not impose a false locked-logo rule.,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q1,PHOTO-01/pdp-r003/K5_Q1/message,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,An unbriefed viewer identifies “Even Niacinamide Serum” as the subject.,"{""text"":""Even Niacinamide Serum"",""source_check_id"":""PHOTO-01/pdp-r003/H003""}",human_judgement,defined,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q2,PHOTO-01/pdp-r003/K5_Q2/hierarchy,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The viewer notices the intended focal element first.,"""The product benefit is visually subordinate to the product name.""",human_judgement,requires_reviewer_focal_anchor,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q5,PHOTO-01/pdp-r003/K5_Q5/audience,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The intended audience understands the message without extra explanation.,"""Women roughly twenty six to forty two, ingredient literate, who research formulations and trust plainness over promise. They shop web stores and specialty beauty floors and judge a product by its panel.""",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q3,PHOTO-01/pdp-r003/K5_Q3/detail-H002,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,"At full export size, the bottle label text is not cut off.","{""check_id"":""PHOTO-01/pdp-r003/H002"",""condition"":""Skincare product-page image - Even Niacinamide Serum (pdp-r003.png): At full export size, the bottle label text is not cut off."",""expected"":null}",human_observation,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q3,PHOTO-01/pdp-r003/K5_Q3/detail-H003,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The viewer can read the approved product name without the brief.,"{""check_id"":""PHOTO-01/pdp-r003/H003"",""condition"":""Skincare product-page image - Even Niacinamide Serum (pdp-r003.png): Product name reads exactly “Even Niacinamide Serum”."",""expected"":""Even Niacinamide Serum""}",human_observation,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q3,PHOTO-01/pdp-r003/K5_Q3/detail-H004,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The viewer can read the approved claim without the brief.,"{""check_id"":""PHOTO-01/pdp-r003/H004"",""condition"":""Skincare product-page image - Even Niacinamide Serum (pdp-r003.png): Claim reads exactly “Helps visibly balance and refine the look of pores.”"",""expected"":""Helps visibly balance and refine the look of pores.""}",human_observation,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q3,PHOTO-01/pdp-r003/K5_Q3/detail-H005,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The viewer can read the approved price without the brief.,"{""check_id"":""PHOTO-01/pdp-r003/H005"",""condition"":""Skincare product-page image - Even Niacinamide Serum (pdp-r003.png): Price reads exactly “38.00”."",""expected"":""38.00""}",human_observation,,,not_assessed,
SB3-001-PHO,PHOTO-01,K5_Q6,PHOTO-01/pdp-r003/K5_Q6/implication,Skincare product-page image - Even Niacinamide Serum,pdp-r003.png,The design does not imply an unsupported factual claim.,"{""approved_copy"":{""Product Name"":""Even Niacinamide Serum"",""INCI"":""Aqua, Niacinamide, Zinc PCA, Pentylene Glycol, Panthenol"",""Claim"":""Helps visibly balance and refine the look of pores."",""Price"":""38.00"",""Picture"":""aurelian_launch_shoot_02.jpg""},""brief"":""BRIEF.md"",""brand"":""Aurelian Skin""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K1_Q5,PHOTO-01/pdp-r004/K1_Q5/blocking_defect,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,No defect blocks the commissioned use of this file.,"""Output contract for pdp-r004. A No needs the exact failed requirement and why it prevents use.""",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q1,PHOTO-01/pdp-r004/K2_Q1/source_selection,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,Placed client artwork comes from the supplied source pack.,"""aurelian_launch_shoot_03.jpg""",human_judgement,,Applies to client artwork that the brief requires reusing. Authorised new drawings or stock imagery are not falsely treated as supplied artwork.,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q2,PHOTO-01/pdp-r004/K2_Q2/source_permission,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,Source changes stay within the permissions in the client brief.,"{""source_files"":""aurelian_launch_shoot_03.jpg"",""permissions"":[""Do not invent names, prices, claims, product features, locations, credentials, records, or documentary events that are absent from the approved inputs."",""Do not silently replace a weak supplied asset. Use it honestly, reject it with a reason, or take only the brief's declared Stock or concept exception."",""Record every omission, substitution, reconciliation, and material quality compromise in the delivery manifest."",""Preserve identity, product geometry, material behavior, and documentary truth; retouching may improve presentation but may not change what the subject is.""],""brief"":""BRIEF.md""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q4,PHOTO-01/pdp-r004/K2_Q4/identity,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,The depicted subject retains its identifying features from the source.,"""aurelian_launch_shoot_03.jpg""",human_judgement,,"Applies to an identifiable product, person, logo or distinctive object. Otherwise record not applicable with a reason; do not mark Yes.",not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q5,PHOTO-01/pdp-r004/K2_Q5/role,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,The selected source artwork serves the commissioned purpose.,"{""source_files"":""aurelian_launch_shoot_03.jpg"",""commission"":[""The photograph shows the product named on this module."",""The bottle label remains legible at the delivered size."",""The product benefit is visually subordinate to the product name.""],""brief"":""BRIEF.md""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r004/K3_Q1/K3_PHOTO_01,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,Balanced; highlights and shadows hold detail.,"{""criterion"":""Exposure & tone"",""minor"":""slightly off but recoverable"",""major"":""clipped — detail lost"",""output_kind"":""pdp""}",subjective_expert_review,,Review Exposure & tone only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r004/K3_Q1/K3_PHOTO_02,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,Neutral or on-brand; skin tones natural.,"{""criterion"":""Colour & white balance"",""minor"":""slight cast"",""major"":""clear cast / wrong colour"",""output_kind"":""pdp""}",subjective_expert_review,,Review Colour & white balance only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r004/K3_Q1/K3_PHOTO_03,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,Clean edges; fine detail (hair) kept.,"{""criterion"":""Mask & edge quality"",""minor"":""small halo or jaggies"",""major"":""visible halo / clipped subject"",""output_kind"":""pdp""}",subjective_expert_review,,Review Mask & edge quality only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r004/K3_Q1/K3_PHOTO_04,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,Clean and natural.,"{""criterion"":""Blemish & artefact removal"",""minor"":""a few left, or faint over-smoothing"",""major"":""artefacts remain / skin looks plastic"",""output_kind"":""pdp""}",subjective_expert_review,,Review Blemish & artefact removal only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r004/K3_Q1/K3_PHOTO_05,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,Realistic micro-detail.,"{""criterion"":""Texture & detail preserved"",""minor"":""slightly soft"",""major"":""detail smeared or lost"",""output_kind"":""pdp""}",subjective_expert_review,,Review Texture & detail preserved only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r004/K3_Q1/K3_PHOTO_06,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,"Cohesive, intentional grade.","{""criterion"":""Look / grade integrity"",""minor"":""slightly uneven"",""major"":""artificial or broken look"",""output_kind"":""pdp""}",subjective_expert_review,,Review Look / grade integrity only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K4_Q1,PHOTO-01/pdp-r004/K4_Q1/creative_review,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),pdp-r004.png,A clear creative idea shapes the treatment.,"{""commission"":""Skincare product-page module - Reservoir Hyaluronic Serum (30ml frosted)"",""brand"":""Aurelian Skin"",""brief"":""BRIEF.md""}",subjective_expert_review,,"For faithful restoration or reproduction, judge intentional treatment within the permissions, not novelty that would change the source.",not_assessed,
