task_id,task,family,difficulty,expected_tool_calls,distinct_tools,num_inputs,num_outputs,output_types,output_breakdown,price
AO-27,Streetline-style real-estate interior edit,Photo & Image,T3_intermediate,19,15,2,2,1,image×2,~$55 est.
AO-29,Continental 2026 Cup Stars Poster,Photo & Image,T3_intermediate,23,18,3,6,4,"image×3, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
AO-30,Daily Promo Spot,Photo & Image,T3_intermediate,22,18,7,7,4,"image×2, audio×2, data/file×2, video×1",~$65 est.
AO-31,Daily-vlog brand kit,Photo & Image,T3_intermediate,18,15,5,8,5,"image×4, vector(SVG)×1, video×1, audio×1, link/board×1",~$55 est.
AO-32,Modern House Listing Photography,Photo & Image,T4_advanced,28,13,3,7,2,"image×6, data/file×1",~$75 est.
AO-34,Informative explainer video,Photo & Image,T3_intermediate,25,21,5,9,5,"image×4, video×2, vector(SVG)×1, audio×1, data/file×1",~$70 est.
AO-35,Restore a 1910 magician-troupe postcard,Photo & Image,T3_intermediate,18,14,2,3,2,"image×2, data/file×1",~$55 est.
AO-37,"Restore Three Faded, Scratched Family Photo Scans for A",Photo & Image,T3_intermediate,20,14,3,4,2,"image×3, link/board×1",~$65 est.
AO-38,Logo + Four Challenge-Coin Marks,Photo & Image,T3_intermediate,19,14,5,8,4,"image×4, vector(SVG)×2, link/board×1, data/file×1",~$65 est.
AO-39,"Apparel Shirt Isolation, Background Cleanup and Marketp",Photo & Image,T3_intermediate,21,15,3,5,3,"image×3, vector(SVG)×1, ZIP×1",~$60 est.
AO-41,Batch-clean and productize the Maple Ridge Home Service,Photo & Image,T3_intermediate,16,13,3,6,3,"image×4, vector(SVG)×1, data/file×1",~$50 est.
AO-42,OVERDRIVE merch-brand logo finishing,Photo & Image,T3_intermediate,19,12,2,11,5,"image×7, vector(SVG)×1, link/board×1, ZIP×1, data/file×1",~$65 est.
AO-45,Logo Vectorization + Brand Identity Kit,Vector & Print,T3_intermediate,19,16,1,9,3,"image×5, vector(SVG)×2, data/file×2",~$65 est.
AO-46,"Recreate a Sports Jersey Font (A–Z, 0–9) as Clean Vecto",Vector & Print,T3_intermediate,24,14,5,6,2,"vector(SVG)×5, ZIP×1",~$65 est.
AO-47,Redraw Swimming-Pool Photos into Clean Web-Ready Vector,Vector & Print,T4_advanced,34,16,3,5,3,"vector(SVG)×3, image×1, data/file×1",~$85 est.
AO-48,"Convert an AI-Generated Logo into a Clean, Multi-Platfo",Vector & Print,T3_intermediate,20,17,1,9,3,"image×5, vector(SVG)×2, data/file×2",~$65 est.
AO-49,Evergreen Cannabis Apparel Capsule,Vector & Print,T3_intermediate,21,15,3,5,4,"vector(SVG)×2, image×1, PDF×1, ZIP×1",~$75 est.
AO-51,Vanguard Athletic Logo,Vector & Print,T3_intermediate,25,15,3,7,4,"vector(SVG)×3, image×2, PDF×1, data/file×1",~$70 est.
AO-52,20th-Anniversary folk-art poster screen-print separatio,Vector & Print,T3_intermediate,22,17,6,11,4,"image×7, vector(SVG)×2, PDF×1, link/board×1",~$65 est.
AO-54,LaneLoom,Video & Motion,T3_intermediate,17,17,6,7,5,"image×3, vector(SVG)×1, video×1, audio×1, link/board×1",~$60 est.
AO-55,Multi-Channel Meal-Prep Ad Package,Video & Motion,T4_advanced,26,16,4,10,5,"video×4, image×2, data/file×2, vector(SVG)×1, audio×1",~$70 est.
AO-56,Comedy Gameplay YouTube Edit,Video & Motion,T3_intermediate,18,17,7,8,5,"image×2, vector(SVG)×2, video×2, audio×1, data/file×1",~$55 est.
AO-57,Phonk-Energy 9:16 Reel/TikTok Edit Package,Video & Motion,T4_advanced,30,18,7,4,4,"image×1, video×1, audio×1, data/file×1",~$80 est.
AO-58,Repeatable Adobe pipeline turning one raw exercise clip,Video & Motion,T2_basic,15,13,4,7,5,"video×2, data/file×2, image×1, vector(SVG)×1, audio×1",~$50 est.
AO-60,Packaging-Portfolio Sizzle Reel,Video & Motion,T3_intermediate,18,16,7,6,3,"image×3, video×2, data/file×1",~$55 est.
AO-61,Fun YouTube Podcast,Video & Motion,T3_intermediate,20,19,4,10,5,"image×3, data/file×3, video×2, vector(SVG)×1, audio×1",~$60 est.
AO-62,Variable-Data Event Promo Catalog + Price-Tag Merge (Ov,Layout & Data,T3_intermediate,18,16,6,6,4,"PDF×2, data/file×2, image×1, vector(SVG)×1",~$55 est.
AO-63,Maple Cricket League,Layout & Data,T3_intermediate,18,15,5,7,4,"image×4, vector(SVG)×1, PDF×1, ZIP×1",~$55 est.
AO-64,Premium skincare packaging,Layout & Data,T3_intermediate,18,17,7,9,5,"image×4, PDF×2, vector(SVG)×1, link/board×1, data/file×1",~$60 est.
AO-67,Tamil Traditional Service-Promotion Large-Format Banner,Layout & Data,T4_advanced,28,16,5,10,4,"PDF×6, image×2, vector(SVG)×1, data/file×1",~$75 est.
AO-68,Roadside Coaching-Institute Banner,Layout & Data,T3_intermediate,18,16,4,7,4,"image×4, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
AO-69,TitanSeal Sealants Launch,Layout & Data,T3_intermediate,22,14,5,12,4,"image×8, PDF×2, vector(SVG)×1, link/board×1",~$65 est.
AO-72,Modern Store Graphics Package,Photo & Image,T3_intermediate,24,18,6,8,4,"image×5, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
AO-74,Crumb & Co. wholesale bakery catalog,Layout & Data,T4_advanced,45,11,4,4,3,"image×2, vector(SVG)×1, PDF×1",~$110 est.
AO-75,Northgate Dental Congress 2027,Layout & Data,T3_intermediate,20,11,7,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",$30
AO-76,Northlantic Insurance auto-insurance rate card,Layout & Data,T2_basic,15,11,5,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",~$50 est.
AO-77,Willowfen Press KDP picture-book preflight,Layout & Data,T2_basic,13,9,5,5,3,"PDF×3, image×1, data/file×1",$200
AO-78,Hearthstone Brew Co. café menu,Layout & Data,T4_advanced,29,17,8,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",$45/hr
AO-79,Marlow & Vane property flyer batch,Layout & Data,T4_advanced,29,18,7,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",$100
AO-80,Lanternwood Folk Fest 2026 program booklet,Layout & Data,T4_advanced,26,16,9,5,4,"PDF×2, image×1, vector(SVG)×1, data/file×1",~$70 est.
AO-81,Nimbadesk SaaS product sell sheets,Layout & Data,T3_intermediate,23,14,7,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
AO-82,Lumen Quarterly brand-consistency audit,Layout & Data,T2_basic,10,7,4,3,2,"data/file×2, image×1",~$40 est.
AO-83,Halden Sleep mattress catalog pre-merge audit,Layout & Data,T2_basic,14,11,16,4,3,"PDF×2, image×1, data/file×1",~$45 est.
AO-84,Verdafix industrial sealant labels,Layout & Data,T3_intermediate,21,13,7,5,4,"vector(SVG)×2, image×1, PDF×1, data/file×1",~$60 est.
AO-85,Ironclad parts catalog pre-press audit,Layout & Data,T2_basic,14,11,4,5,2,"data/file×4, PDF×1",~$45 est.
AO-86,Amberleaf Tea Studio,Vector & Print,T4_advanced,26,15,4,8,3,"vector(SVG)×4, image×2, data/file×2",~$70 est.
AO-87,Little Lighthouse charity tee,Vector & Print,T4_advanced,36,11,4,10,3,"vector(SVG)×8, PDF×1, data/file×1",$5–$17/hr
AO-88,Ridgeline Rovers FC crest,Vector & Print,T4_advanced,27,18,2,7,3,"vector(SVG)×3, image×2, data/file×2",~$75 est.
AO-89,LUMIÈRE MÉNAGE monochrome beauty brand mark,Vector & Print,T3_intermediate,17,14,1,9,3,"image×5, data/file×3, vector(SVG)×1",$25
AO-90,Apexguard Auto Film,Vector & Print,T4_advanced,30,15,5,9,4,"vector(SVG)×5, data/file×2, image×1, PDF×1",$500
AO-91,Maison Valcere jewelry house,Vector & Print,T3_intermediate,16,10,4,3,3,"image×1, PDF×1, data/file×1",~$50 est.
AO-92,Wandergrain Supply screen-print pre-flight,Vector & Print,T3_intermediate,20,11,5,4,3,"image×2, vector(SVG)×1, data/file×1",$15–$35/hr
AO-93,Torqex Industrial nameplate logo pack,Vector & Print,T3_intermediate,16,10,7,3,3,"image×1, PDF×1, data/file×1",~$50 est.
AO-94,Vitalé wellness Reel: clean a captured talking-head int,Video & Motion,T2_basic,15,10,3,5,2,"video×4, data/file×1",~$50 est.
AO-95,Voltcast tech-channel delivery QC,Video & Motion,T2_basic,13,8,4,3,3,"image×1, PDF×1, data/file×1",~$45 est.
AO-96,SentinelMesh AI cybersecurity SaaS product video,Video & Motion,T3_intermediate,21,17,8,11,5,"image×4, video×4, vector(SVG)×1, audio×1, data/file×1",$900
AO-97,Pulsevault club-night recap,Video & Motion,T4_advanced,31,19,7,6,5,"data/file×2, image×1, vector(SVG)×1, video×1, audio×1",~$80 est.
AO-98,Velvet Hour Sessions live-set footage review,Video & Motion,T2_basic,13,10,14,3,2,"PDF×2, data/file×1",$25
AO-99,Lunara Silver Reel repurpose pack,Video & Motion,T3_intermediate,25,17,4,9,5,"video×4, data/file×2, image×1, vector(SVG)×1, audio×1",~$70 est.
AO-104,Northwind Advisory corporate headshots,Photo & Image,T4_advanced,43,13,4,19,2,"image×18, data/file×1",~$105 est.
AO-105,Nocturne Sessions duotone gig poster,Photo & Image,T3_intermediate,16,15,5,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",$25
AO-106,Nordheim Atelier FW26 editorial poster series,Photo & Image,T4_advanced,40,15,7,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",$500
AO-107,Deli & Dough Uber Eats hero banner,Photo & Image,T4_advanced,29,16,8,5,3,"image×3, vector(SVG)×1, data/file×1",$20–$40/hr
AO-109,Kantyna Nova website photo grade,Photo & Image,T4_advanced,39,15,9,5,2,"data/file×3, image×2",~$95 est.
AO-110,Summit & Sable eCommerce catalog,Photo & Image,T4_advanced,33,11,7,4,2,"image×3, data/file×1",$8–$45/hr
AO-111,"Restore a Faded, Scratched Family Keepsake Photo to a F",Photo & Image,T3_intermediate,17,17,1,2,2,"image×1, link/board×1",~$55 est.
AO-112,SlabVault graded-card Shopify batch,Photo & Image,T4_advanced,37,11,7,4,2,"image×2, data/file×2",$5–$50/hr
AO-113,Loomhearth flat-lay apparel,Photo & Image,T4_advanced,49,13,6,4,2,"image×3, data/file×1",~$115 est.
AO-114,"Lumora ""Dewdrop"" lip-oil color-variant set",Photo & Image,T3_intermediate,23,16,3,3,2,"image×2, PDF×1",~$65 est.
AO-115,Rukmini Silverworks 925 jewelry catalog,Photo & Image,T4_advanced,47,16,7,4,2,"image×2, data/file×2",~$115 est.
AO-116,Umbra Loft noir concert-series poster art,Photo & Image,T4_advanced,36,12,4,4,3,"image×2, ZIP×1, data/file×1",~$90 est.
AO-117,Marisol Cove boutique-hotel homepage hero,Photo & Image,T3_intermediate,18,15,3,6,4,"image×3, vector(SVG)×1, PDF×1, data/file×1",$15
AO-118,Fizzwild kombucha website hero + banner set,Photo & Image,T4_advanced,29,13,3,10,4,"image×6, data/file×2, vector(SVG)×1, ZIP×1",~$75 est.
AO-119,Harbor Crest Realty website visual refresh,Photo & Image,T3_intermediate,22,16,4,11,3,"image×8, data/file×2, vector(SVG)×1",~$65 est.
AO-120,NOURA daily-greens DTC paid-social video ad package,Video & Motion,T4_advanced,28,20,10,12,5,"image×4, video×4, data/file×2, vector(SVG)×1, audio×1",~$75 est.
AO-121,Sable & Finch Realty listing tour,Video & Motion,T4_advanced,36,26,9,14,5,"image×5, video×3, data/file×3, audio×2, vector(SVG)×1",~$90 est.
AO-122,Ember & Oak wood-fired restaurant sizzle reel,Video & Motion,T4_advanced,36,27,9,10,5,"video×4, image×3, vector(SVG)×1, audio×1, data/file×1",$10–$20/hr
AO-123,Meridian Academy online-course explainer edit,Video & Motion,T4_advanced,31,22,8,12,5,"image×5, data/file×3, video×2, vector(SVG)×1, audio×1",~$80 est.
