i,verified_grade,title,vertical,platform,url,groups,est_calls,orig_v2_grade,audit
294,express,Wellness Spa BrandIdentity Designer Needed for Google & Social Media Templates,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Wellness%20Spa%20BrandIdentity%20Designer%20Needed%20for%20Google%20&%,express|layout|martech,10,express,confirm
296,express,iOS Beauty App Screenshots,"Beauty, Cosmetics & Personal Care",Freelancer.com,https://www.freelancer.com/projects/app-designer/iOS-Beauty-App-Screenshots,express|photo,9,express,confirm
303,express,Business Card Designer for Premium Home Care Brand,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Business%20Card%20Designer%20for%20Premium%20Home%20Care%20Brand,express|layout,5,express,confirm
305,express,Canva Designer Needed to Create Branded Client-Facing Medicare Journey PDFs,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Canva%20Designer%20Needed%20to%20Create%20Branded%20Client-Facing%20Me,express|datamerge|layout,10,express,confirm
307,express,Comprehensive Entry-Level Resume Package,Cannabis & Dispensary,Freelancer.com,https://www.freelancer.com/projects/cover-letter/Comprehensive-Entry-Level-Resume-Package,express|layout,8,express,confirm
308,express,Create 50 Chiropractic Waiting Room Digital Signage Slides,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Create%2050%20Chiropractic%20Waiting%20Room%20Digital%20Signage%20Slid,express|datamerge|layout,14,express,confirm
311,express,Double-Sided 5x7 THC Beverage Postcard Design,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Double-Sided%205x7%20THC%20Beverage%20Postcard%20Design,express|layout,6,express,confirm
313,express,Expert Graphic Designer Needed for Eye-Catching Dispensary Posters,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Expert%20Graphic%20Designer%20Needed%20for%20Eye-Catching%20Dispensary,express|photo|stock|board,12,express,confirm
317,express,"Graphic Designer (Social Media, Paid Ads & AI Creative)",Cannabis & Dispensary,Upwork,"https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20(Social%20Media,%20Paid%20Ads%20&%20AI%20Creative",express|photo|video,9,express,confirm
319,express,Graphic Designer Needed to Create Scroll-Stopping META Ads (Fitness / Healthcare),Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20Needed%20to%20Create%20Scroll-Stopping%20META%20A,express|photo|layout,8,express,confirm
320,express,Graphic Designer for Healthcare Visuals,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20for%20Healthcare%20Visuals,express|layout,8,express,confirm
322,express,Graphic design,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20design,layout|express,6,express,confirm
323,express,Healthcare Brochure Design,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Healthcare%20Brochure%20Design,layout|express|datamerge,13,express,confirm
334,express,Luxury Medical Spa Marketing Package,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Luxury%20Medical%20Spa%20Marketing%20Package,express|layout,10,express,confirm
341,express,PowerPoint / Keynote Designer Needed – Healthcare Conference Presentation (Urgent),Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20/%20Keynote%20Designer%20Needed%20–%20Healthcare%20Confer,express|layout,9,express,confirm
342,express,Premium Medical Device Brochure Design,Cannabis & Dispensary,Freelancer.com,https://www.freelancer.com/projects/adobe-creative-suite/Premium-Medical-Device-Brochure-Design,express|layout|photo,11,express,confirm
343,express,Print Designer Needed – Rack Card (4x9) for Health Clinic,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Print%20Designer%20Needed%20–%20Rack%20Card%20(4x9)%20for%20Health%20C,express|layout,5,express,confirm
354,express,Talented Presentation Designer Needed,Cannabis & Dispensary,Upwork,https://www.upwork.com/nx/search/jobs/?q=Talented%20Presentation%20Designer%20Needed,express|layout,8,express,confirm
365,express,Amazon Listing Image Designer,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Amazon%20Listing%20Image%20Designer,photo|express|layout,9,express,confirm
366,express,Amazon Listing Image Designer (AI Tools Allowed),"E-commerce, Retail & Product",Freelancer.com,https://www.freelancer.com/projects/adobe-illustrator/Amazon-Listing-Image-Designer-Tools,express|photo|datamerge|layout,14,express,confirm
367,express,Amazon Product Image Set,"E-commerce, Retail & Product",Freelancer.com,https://www.freelancer.com/projects/adobe-photoshop/Amazon-Product-Image-Set,photo|express|layout,8,express,confirm
373,express,Create 20 Infographics/Images for Amazon Product Listing,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Create%2020%20Infographics/Images%20for%20Amazon%20Product%20Listing,express|photo|layout,13,express,confirm
384,express,Elegant Furniture Catalog Design PDF,"E-commerce, Retail & Product",Freelancer.com,https://www.freelancer.com/projects/typography/Elegant-Furniture-Catalog-Design-PDF,layout|datamerge|photo,12,express,confirm
391,express,Graphic Designer,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer,express|photo,8,express,confirm
392,express,Graphic Designer Needed to Recreate 7 High-Quality Product Page Hero Images,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20Needed%20to%20Recreate%207%20High-Quality%20Produ,photo|express|stock,10,express,confirm
393,express,Graphic Designer and Social Media Strategist,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20and%20Social%20Media%20Strategist,express|photo,8,express,confirm
394,express,Graphic designer - advertising creatives,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20designer%20-%20advertising%20creatives,express|photo,7,express,confirm
395,express,High-Converting Instagram/Social Media Reel Ad for Single Hero Product - Bangalore only -- 2,"E-commerce, Retail & Product",Freelancer.com,https://www.freelancer.com/projects/social-media-marketing/High-Converting-Instagram-Social-Media,express|video|stock,7,express,confirm
397,express,Infographic designer,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Infographic%20designer,express|photo,8,express,confirm
404,express,Minimalist Instagram Sales Poster,"E-commerce, Retail & Product",Freelancer.com,https://www.freelancer.com/projects/canva/Minimalist-Instagram-Sales-Poster,express|photo,6,express,confirm
409,express,PPC looking for a High-Performing Graphic/Video Creatives,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=PPC%20looking%20for%20a%20High-Performing%20Graphic/Video%20Creatives,express|photo|video,8,express,confirm
411,express,Packaging & Instruction Manual Design,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Packaging%20&%20Instruction%20Manual%20Design,layout|express,9,express,confirm
412,express,Packaging Box Designer needed for 32oz Stainless Steel Water Bottle — Adventure Brand,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Packaging%20Box%20Designer%20needed%20for%2032oz%20Stainless%20Steel%2,layout|express|photo,8,express,confirm
413,express,Packaging Design for Ecom Product,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Packaging%20Design%20for%20Ecom%20Product,layout|express,7,express,confirm
415,express,Picture Design Advertisements for E-commerce,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Picture%20Design%20Advertisements%20for%20E-commerce,express|photo,7,express,confirm
427,express,Senior Production Designer — High-Volume Retail and E-Commerce (Long-Term),"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Senior%20Production%20Designer%20—%20High-Volume%20Retail%20and%20E-Co,express|photo|layout,10,express,confirm
432,express,Social Media Brand Awareness Campaign,"E-commerce, Retail & Product",Freelancer.com,https://www.freelancer.com/projects/content-creation/Social-Media-Brand-Awareness-Campaign-40488857,express|video|photo,11,express,confirm
437,express,Video Editor Wanted — Ecommerce Ads That Actually Convert (Not Just Look Pretty),"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Video%20Editor%20Wanted%20—%20Ecommerce%20Ads%20That%20Actually%20Conv,video|express,6,express,confirm
438,express,Video Editor for Meta Ads,"E-commerce, Retail & Product",Upwork,https://www.upwork.com/nx/search/jobs/?q=Video%20Editor%20for%20Meta%20Ads,video|express,6,express,confirm
442,express,(Eastern EU) AI Video Editor | Direct Response Ads,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=(Eastern%20EU)%20AI%20Video%20Editor%20|%20Direct%20Response%20Ads,video|express,6,express,confirm
457,express,50's Rock Hop Gala Poster,Education & Children,Freelancer.com,https://www.freelancer.com/projects/creative-design/Rock-Hop-Gala-Poster,express|photo|stock|board,9,express,confirm
458,express,50's Rock Hop Gala Poster -- 2,Education & Children,Freelancer.com,https://www.freelancer.com/projects/creative-design/Rock-Hop-Gala-Poster-40481751,express|photo|stock|board,9,express,confirm
461,express,"AI UGC Video Editor 📍 Remote | $1,500–$2,500/month + Winning Ad Bonuses",Education & Children,Upwork,"https://www.upwork.com/nx/search/jobs/?q=AI%20UGC%20Video%20Editor%20📍%20Remote%20|%20$1,500–$2,500/month%20+%2",video|express,6,express,confirm
463,express,Academic Designer Needed for APA 7th Edition Conceptual Framework Diagram Design,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Academic%20Designer%20Needed%20for%20APA%207th%20Edition%20Conceptual%,layout|express,5,express,confirm
467,express,Amazon Infographics,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Amazon%20Infographics,express|photo,8,express,confirm
472,express,Back to School Flyer Design Back to School Bash,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Back%20to%20School%20Flyer%20Design%20Back%20to%20School%20Bash,express,4,express,confirm
473,express,Bilingual Educational Slides for Kids,Education & Children,Freelancer.com,https://www.freelancer.com/projects/adobe-creative-suite/Bilingual-Educational-Slides-for-Kids,express|layout,9,express,confirm
475,express,Canva Course Designer & Digital Product Creator,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Canva%20Course%20Designer%20&%20Digital%20Product%20Creator,express|layout,8,express,confirm
514,express,Cinematic Tribute Video for Guru Vandana cum birthday event with 250 people,Education & Children,Freelancer.com,https://www.freelancer.com/projects/video-editing/Cinematic-Tribute-Video-for-Guru,video|audio|express|stock,12,express,confirm
515,express,College Bar Crawl Shirt Design,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=College%20Bar%20Crawl%20Shirt%20Design,express,4,express,confirm
517,express,College Promotional Video Creation,Education & Children,Freelancer.com,https://www.freelancer.com/projects/motion-graphics/College-Promotional-Video-Creation,video|express|stock,9,express,confirm
518,express,Combination Format CV From Scratch - 01/06/2026 18:53 EDT,Education & Children,Freelancer.com,https://www.freelancer.com/projects/content-writing/Combination-Format-From-Scratch-EDT,express|layout,5,express,confirm
521,express,Content Creator – Immigration Social Media Marketing (Part-Time/Freelance),Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Content%20Creator%20Immigration%20Social,express|video,7,express,confirm
524,express,Corporate Training Video Editing,Education & Children,Freelancer.com,https://www.freelancer.com/projects/adobe-premiere-pro/Corporate-Training-Video-Editing-40480741,video|audio|express,8,express,confirm
526,express,Course Lecture Video Editing -- 2,Education & Children,Freelancer.com,https://www.freelancer.com/projects/audio-editing/Course-Lecture-Video-Editing,video|audio,7,express,confirm
527,express,Cover Designer for Cozy Mystery Novel Needed,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Cover%20Designer%20for%20Cozy%20Mystery%20Novel%20Needed,express|photo|stock|board,7,express,confirm
530,express,Creative Explainer Video Producers Needed,Education & Children,Freelancer.com,https://www.freelancer.com/projects/explainer-videos/Creative-Explainer-Video-Producers,video|express,7,express,confirm
532,express,Creative Graphics Designer,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Creative%20Graphics%20Designer,express|photo,7,express,confirm
533,express,Creativos Redes Sociales Inmuebles,Education & Children,Freelancer.com,https://www.freelancer.com/projects/graphic-design/Creativos-Redes-Sociales-Inmuebles,express|photo,8,express,confirm
535,express,Cute Children’s 5-Minute Video -- 2,Education & Children,Freelancer.com,https://www.freelancer.com/projects/video-post-editing/Cute-Children-Minute-Video,video,5,express,confirm
537,express,Design High Quality eBook Cover and Paperback Cover for Amazon Kindle posting,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Design%20High%20Quality%20eBook%20Cover%20and%20Paperback%20Cover%20fo,express|photo|stock|board,7,express,confirm
539,express,Dynamic IG Reels Editor,Education & Children,Freelancer.com,https://www.freelancer.com/projects/motion-graphics/Dynamic-Reels-Editor,video|express,6,express,confirm
540,express,Ebook Creation and Social Media Design,Education & Children,Freelancer.com,https://www.freelancer.com/projects/social-media-marketing/Ebook-Creation-Social-Media-Design,layout|express,10,express,confirm
544,express,Educational Video & Photo Editing,Education & Children,Freelancer.com,https://www.freelancer.com/projects/adobe-premiere-pro/Educational-Video-Photo-Editing,video|express,7,express,confirm
545,express,Educational Video Editor Needed,Education & Children,Freelancer.com,https://www.freelancer.com/projects/adobe-premiere-pro/Educational-Video-Editor-Needed-40478570,video,5,express,confirm
548,express,Engaging Movie Recap Editing,Education & Children,Freelancer.com,https://www.freelancer.com/projects/sound-design/Engaging-Movie-Recap-Editing,video|express,6,express,confirm
549,express,Experienced Video Editor / Motion Graphics Designer Needed for YouTube Explainer Videos,Education & Children,Freelancer.com,https://www.freelancer.com/projects/after-effects/Experienced-Video-Editor-Motion-Graphics,video|express,7,express,confirm
550,express,Facebook Ads for Kids Apparel,Education & Children,Freelancer.com,https://www.freelancer.com/projects/adobe-photoshop/Facebook-Ads-for-Kids-Apparel,express|photo,8,express,confirm
553,express,Flyer Design for Graduate Degree Programs,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Flyer%20Design%20for%20Graduate%20Degree%20Programs,layout|express,6,express,confirm
554,express,Flyer for summer program,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Flyer%20for%20summer%20program,express,5,express,confirm
555,express,Fun and Colorful T-Shirt Design,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Fun%20and%20Colorful%20T-Shirt%20Design,express,4,express,confirm
557,express,Graduation Highlight Video Montage,Education & Children,Freelancer.com,https://www.freelancer.com/projects/audio-editing/Graduation-Highlight-Video-Montage,video|express,8,express,confirm
558,express,Graphic Design for Laptop Sticker,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Design%20for%20Laptop%20Sticker,express,4,express,confirm
559,express,Graphic Design for Public Event,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Design%20for%20Public%20Event,express|layout,5,express,confirm
560,express,Graphic Designer,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer,express,5,express,confirm
561,express,Graphic Designer Needed for SherpaNest™ Setup Guide & Packaging Insert,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20Needed%20for%20SherpaNest™%20Setup%20Guide%20&%20,layout|express,8,express,confirm
562,express,Graphic Designer for Small Logo / Graphic / Flyer Design (Short Project),Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20for%20Small%20Logo%20/%20Graphic%20/%20Flyer%20De,express,4,express,confirm
563,express,Graphic Designer for Year Book Picture Layout,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20for%20Year%20Book%20Picture%20Layout,layout|photo,7,express,confirm
564,express,Graphic designer needed asap for quick job,Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20designer%20needed%20asap%20for%20quick%20job,express|photo,6,express,confirm
569,express,High-School Canva Template,Education & Children,Freelancer.com,https://www.freelancer.com/projects/canva/High-School-Canva-Template,express,4,express,confirm
583,express,Instagram Reels Growth & Editing,Education & Children,Freelancer.com,https://www.freelancer.com/projects/adobe-premiere-pro/Instagram-Reels-Growth-Editing-40490516,video|express,6,express,confirm
584,express,Instructional / Training Content Developer Build Course Modules (Content + Activities + Handouts),Education & Children,Upwork,https://www.upwork.com/nx/search/jobs/,layout|express,8,express,confirm
