family,category,task_type,title,feasibility,note,source,date,vertical,url,mcp_workflow,input_assets,brief
Express Template Design,Presentations,15-slide deck - layout + imagery (copy already written),"Presentation Deck Designer Needed — 15 Slides (Layout + Imagery, Copy Already Written)",template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,"Finance, Crypto & Professional Services",https://www.upwork.com/nx/search/jobs/?q=Presentation%20Deck%20Designer%20Needed%20—%2015%20Slides%20(Layout%20,search_design (Express presentation template) -> fill_text (finalised slide copy) -> asset_search (stock imagery) -> asset_add_file (assets/logo) -> asset_preview_file,All slide copy in a document (finalised) | 15 slides | Specific images/assets the client wants incorporated (client supplies) + high-quality stock imagery to source | Icons/graphics per slide | Deliverable: editable PowerPoint or Google Slides + PDF export,"I'm looking for a talented graphic designer to take a completed 15-slide presentation and transform it into a polished, visually compelling deck. The text content is finalized — your job is to make it look great. What You'll Be Doing Apply a cohesive visual design system (typography, color palette, spacing, hierarchy) Source and place appropriate imagery, icons, and graphics for each slide Create clean, professional layouts that enhance readability and flow Ensure visual consistency across all 15 slides Deliver an editable file (PowerPoint or Google Slides) + a PDF export What I'll Provide All slide copy in a document Any specific images or assets I want incorporated Clear feedback within 48 hours of each round What I'm Looking For Strong portfolio of presentation or pitch deck work Proficiency in PowerPoint, Google Slides Clean, modern design sensibility — not templated or generic Reliable communication and ability to hit deadlines Experience sourcing high-quality stock imagery is a plus To Apply Please include 2–3 examples of presentation or deck work from your portfolio. Proposals without samples will not be considered."
Express Template Design,Presentations,Branded slide template + full research deck + 1-3 framework graphics,GSlides Presentation Template Development & Graphic Design for Framework/Infographics,template,"Template + fill_text + asset_add_file deliver the slide template and content deck, but the 1-3 bespoke framework/infographic graphics are custom information-design that the template cannot supply - a human must build those in Express/PowerPoint.",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=GSlides%20Presentation%20Template%20Development%20&%20Graphic%20Design,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Multiple sample decks to model the template/frameworks from (client provides) | Joint client branding elements to incorporate | Research findings + storyline content to typeset | 1-3 key framework / information-architecture graphics to design | Output: PowerPoint / Google Slides template + deck,"Summary We are seeking a skilled graphic designer to create a professional PowerPoint template for our company. The template should include multiple slide types that aligns with our brand identity and is easy to use for our team. The ideal candidate will have experience in creating visually appealing and professional presentations using Microsoft PowerPoint, Google Slides, and Canva, as well as designing frameworks and graphic design depictions of lots of information. Specifically this project includes: Designing a slide template for our client, with joint branding elements Designing a full slide deck for presentation (compilation of our research findings and storyline) Designing 1-3 key frameworks/graphic depictions of information Please provide samples of your previous work. We will also provide you multiple sample decks to model the template and frameworks from. Important capabilities: -visual elegance and accessible UX -quick turnaround time (1-2 days) -good listening and detail orientation as we iterate -adherence to project timeline -good communicator, asks questions, seeks iterative feedback"
Express Template Design,Presentations,Redesign ~89 slides across 4 technical training decks (certification program),PowerPoint Presentation Redesign & Visual Learning Experience,template,"Express template + fill_text handle the cohesive theme and text reflow across the 89 slides, but the requested custom infographics, process flows and data visualisations are bespoke information-design the template can't generate - a human finishes those in PowerPoint.",upwork,,"Automotive, Industrial & Agriculture",https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20Redesign%20&%20Visual%20Learning%20Experie,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,"4 existing PowerPoint presentations, ~89 slides total (content developed) | Custom infographics, diagrams, process flows, comparison charts, data visualisations to create | Cohesive theme / visual identity + reusable layouts | Deliverable: fully editable PowerPoint files | Brand colours/fonts/logo - confirm","I am seeking a highly skilled PowerPoint designer to redesign a series of technical training presentations into a professional, visually compelling certification program. The content and technical information have already been developed. The objective of this project is to elevate the visual quality of the presentations by creating a cohesive, modern design system that improves engagement, comprehension, and overall learning experience. The project consists of approximately 89 slides across four presentations covering technical and product-related topics. The final deliverables should reflect the quality and polish of professional corporate training programs used by leading technology, engineering, and industrial organizations. Project Requirements Complete visual redesign of existing PowerPoint presentations Development of a consistent presentation theme and visual identity Creation of custom infographics, diagrams, process flows, comparison charts, and data visualizations Transformation of text-heavy content into visually engaging and easy-to-understand slides Strong emphasis on information hierarchy, readability, and learner engagement Creation of reusable layouts, templates, and visual elements for future scalability Delivery of fully editable PowerPoint files Desired Design Style Modern and professional Executive-level presentation quality Clean, polished, and visually consistent Strong use of infographics and visual storytelling Suitable for technical training and certification programs Similar in quality to presentations developed by top consulting, technology, engineering, or Fortune 500 organizations Ideal Candidate Extensive experience designing PowerPoint presentations and training materials Strong portfolio demonstrating infographic and information design capabilities Ability to simplify complex technical concepts through visual communication Strong attention to detail and presentation aesthetics Experience creating educational, certification, or technical training content is highly preferred When Applying, Please Include Relevant PowerPoint presentation samples Examples of custom infographics and diagrams Estimated project timeline Fixed-price proposal Brief overview of your design approach for technical or training-focused presentations This project may lead to additional presentation design and visual communication work for future training, product, and marketing initiatives."
Express Template Design,Presentations,Executive data-visualization deck - 30-40 slides,Data Visualization Slide Presentation,template,"Template + fill_text lay out the deck and place client-supplied charts, but the connector cannot author the data visualisations themselves; charts/graphs must be supplied or built by a human and dropped in via asset_add_file.",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=Data%20Visualization%20Slide%20Presentation,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,"Source data + key insights to visualise (client supplies) | 30-40 slides | Charts/graphs to place (client supplies as images, or built externally) | Brand colours/fonts/logo - confirm | Output format - confirm","I need a slide presentation of 30-40 slides that effectively visualizes data for an executive group. The presentation should be visually appealing and easy to understand, ensuring that key insights are clearly communicated. The ideal candidate will have experience in data visualization and presentation design, with a strong ability to transform complex data into engaging and informative slides."
Express Template Design,Presentations,Analytical / business-insight presentation with data visualization,"Professional Analytical Presentation, Data Visualization, and Business Insight Design Specialist",template,Template + fill_text structure the deck; the data visualisations/charts must be supplied or built by a human and placed via asset_add_file - the connector cannot author them.,upwork,,"Technology, SaaS & Startups","https://www.upwork.com/nx/search/jobs/?q=Professional%20Analytical%20Presentation,%20Data%20Visualization,%20an",search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,"Complex information / business insights to transform into slides (client supplies) | Charts, graphs, tables to place (client supplies) | Slide count - confirm; brief doesn't state | Brand colours/fonts/logo - confirm | Output: optimised for desktop + presentation platforms","A highly professional and detail-oriented specialist is required to create modern analytical presentations and visually engaging data visualization materials. The ideal candidate should have strong experience in presentation design, business reporting layouts, visual data organization, charts, graphs, typography, and overall information presentation. The main goal of this project is to transform complex information and business insights into clean, professional, and easy-to-understand visual presentations while maintaining modern corporate design standards. Strong attention to layout structure, visual consistency, color balance, and audience-focused presentation style is essential. Final deliverables should be visually appealing, well-organized, and optimized for both desktop and presentation platforms. A strong understanding of modern presentation trends, corporate branding, and analytical storytelling is highly preferred."
Express Template Design,Presentations,PowerPoint decks + participant workbooks from raw content (content-edit heavy),PowerPoint Presentation Designer & Content Editor (Workbooks + Training Materials),template,"Connector handles the Express slide template + content placement, but the heavy copy-editing/condensing, the Word workbooks, and bespoke frameworks/infographics are human work the connector cannot do.",upwork,,Education & Children,https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20Designer%20&%20Content%20Editor%20(Workboo,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,"Raw content: notes, transcripts, 20-50 page documents (client supplies) | Participant workbooks / training manuals to build in Microsoft Word | Diagrams, frameworks, infographics to create | Brand guidelines to follow | Slide count - confirm; output: PowerPoint + Word","We are looking for a highly skilled PowerPoint Presentation Designer and Content Editor to help transform training, sales, and educational content into professional, engaging, and visually appealing materials. This role is not just about making slides look good. You must also have strong editing and content structuring skills. We need someone who can take large amounts of written content, simplify it, improve readability, and convert it into impactful presentations and workbooks. Experience creating training materials, educational content, sales presentations, workshops, and participant workbooks is highly desirable. Key Responsibilities: Design professional PowerPoint presentations from raw content, notes, transcripts, and documents Edit and condense written content while maintaining key messages Improve flow, readability, and engagement of content Create participant workbooks and training manuals in Microsoft Word Convert long-form content into clear, visually appealing slides Ensure consistency in branding, formatting, and layout Create diagrams, frameworks, infographics, and visual learning tools Work closely with our team to continuously improve training materials Required Skills: Advanced PowerPoint design skills Strong Microsoft Word skills Excellent English writing and editing abilities Ability to simplify complex information Experience creating training materials, workshops, or educational content Strong attention to detail Ability to follow brand guidelines Ability to work independently and meet deadlines Preferred Experience: Instructional design Corporate training materials Sales training content Workbook development Canva, Adobe Creative Suite, or similar design software Experience working with coaches, consultants, or training companies To Apply: Please provide: Examples of PowerPoint presentations you have created Examples of workbooks or Word documents you have developed Examples showing your editing and content restructuring abilities Your hourly rate A brief explanation of your experience creating training or educational materials Ideal Candidate: We are looking for someone who can take a rough document of 20-50 pages and turn it into a polished, professional presentation and accompanying workbook with minimal supervision. You should be able to think like both a designer and an editor, creating materials that are visually engaging, easy to understand, and highly effective for learning and communication. Ongoing work available for the right person."
Express Template Design,Presentations,Brand presentation template + custom content/visual slides,Professional Presentation design,template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,"Party, Events & Promotion",https://www.upwork.com/nx/search/jobs/?q=Professional%20Presentation%20design,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,"Company brand guidelines, colours, typography, logo (client provides) | Slide content to typeset | Professional visuals/icons/infographics to add - source via asset_search where possible | Slide count - confirm; brief doesn't state | Output format - confirm","Project Overview Design a professional and visually engaging presentation that reflects the company’s brand identity and effectively communicates key business messages. The presentation should be modern, clean, and suitable for client presentations, and conferences. Scope of Work The designer will be responsible for: Creating a complete presentation design template Designing custom layouts for content-heavy and visual slides Incorporating brand guidelines, colors, and typography Enhancing slides with professional visuals, icons, and infographics. Improving readability and visual storytelling Ensuring consistency across all slides"
Express Template Design,Presentations,145-slide presentation design (Canva-style),Canva Presentation Designer for 145 Slides,template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=Canva%20Presentation%20Designer%20for%20145%20Slides,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Content for 145 slides (client supplies) | 145 slides | Graphics/fonts for cohesive layouts - source via asset_search where possible | Brand colours/fonts/logo - confirm | Output format - confirm,"We are seeking a skilled Canva Presentation Designer to create a visually appealing presentation consisting of 145 slides. The ideal candidate will have experience in designing engaging presentations that effectively communicate information. Responsibilities include creating cohesive layouts, selecting appropriate graphics and fonts, and ensuring the presentation is polished and professional. The project requires creativity and attention to detail to deliver a high-quality final product."
Express Template Design,Presentations,Enhance / upgrade existing PowerPoint (design + content),PowerPoint Presentation Upgrade,template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,Video Editing & Motion Graphics,https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20Upgrade,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Existing PowerPoint to upgrade (client supplies) | Slide count - confirm; brief doesn't state | Brand colours/fonts/logo - confirm | Output: PPTX,"We are seeking a skilled freelancer to enhance our existing PowerPoint presentation. The project involves upgrading the design and content to make it more engaging and professional. The ideal candidate will have experience in presentation design and content creation, ensuring the final product is visually appealing and effectively communicates our message."
Express Template Design,Presentations,High-end clean/modern PowerPoint - minimalist corporate aesthetic,"High-End PowerPoint Presentation Designer Needed – Clean, Crisp, & Modern Aesthetic",template,"Brief wants a bespoke 'less-is-more' premium aesthetic, not generic templates: fill_text changes copy only, so the sophisticated typography/whitespace art direction needs a human finishing in Express.",upwork,,General / Cross-Industry Branding & Graphics,"https://www.upwork.com/nx/search/jobs/?q=High-End%20PowerPoint%20Presentation%20Designer%20Needed%20–%20Clean,%",search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Content/concepts to typeset (client supplies) | Slide count - confirm; brief doesn't state | Premium imagery for whitespace-driven layouts - source via asset_search | Brand colours/fonts/logo - confirm | Output: polished PowerPoint,"We are seeking an exceptional presentation designer to transform complex concepts into highly polished, clean, and visually compelling PowerPoint slides. This is not a job for generic templates, bullet-point walls, or dated clip art. We are looking for a true visual storyteller who understands how to use whitespace, sophisticated typography, and intentional layouts to create a premium, ""less-is-more"" corporate aesthetic."
Express Template Design,Presentations,"Editorial deck edits - add logo + swap photos (rush, due today)",Presentation Designer,template,"Logo placement and photo swaps are doable via asset_add_file on the supplied deck, but precise in-template positioning/cropping to match the editorial layout may need a human pass in Express.",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=Presentation%20Designer,asset_add_file (deck + new logo + replacement photos) -> fill_text (any copy tweaks) -> asset_add_file (place logo + swap photos) -> asset_preview_file,Existing editorial slide deck (client supplies) | Company logo to add to slides (client provides) | Replacement photos for selected slides (client provides) | List of which slides/photos to swap | Language: English; due today,"I'm looking to make some minimal corrections to an editorial slide deck, mainly involving logo addition and photo swaps. Scope of work - Add company logo to slide deck - Swap selected photos with provided images References - I will provide the company logo and photos for swapping. Presentation language English Need this due today"
Express Template Design,Presentations,"Ice Cream Festival event deck - 11 slides, fun/vibrant summer",Ice Cream Festival Presentation Design (From Scratch),template,"Despite the 'from scratch' title the content is provided text, so an Express festival/event template + fill_text + stock imagery delivers it; the fun/vibrant custom festival look (per-slide 'how it will look' visuals) needs a human finishing in Express.",upwork,,"Food, Restaurant & Beverage",https://www.upwork.com/nx/search/jobs/?q=Ice%20Cream%20Festival%20Presentation%20Design%20(From%20Scratch),search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,"Event copy provided after hiring: name 'Doha Summer Ice Cream Festival 2026', venue 'Old Doha Port, Doha, Qatar', dates 'Jul 29 - Aug 4 2026', 30+ exhibitors | 11 slides (Cover, Overview, Organizer Profile, Venue, Festival Visuals x3, Exhibitor Profile x3 categories, Exhibitor Count, Contact) | Festival/ice-cream/summer imagery - source via asset_search (Adobe Stock) | Organizer logo + brand colours - confirm | Deliverable: editable PowerPoint (.pptx) + PDF export","Description: We need a designer to create a visually stunning presentation for a public ice cream festival event in Qatar. Event Details: Event name: Doha Summer Ice Cream Festival 2026 Location: Old Doha Port, Doha, Qatar Dates: July 29 – August 4, 2026 Expected exhibitors: 30+ brands Slides needed (11 slides): Cover – Event name, location, dates Event Overview Organizer Profile – Who We Are / Our Mission / What We Do Venue Description Festival Visuals – How it Will Look (3 slides) Exhibitor Profile – 3 categories: Ice Cream & Gelato / Desserts & Sweet Concepts / Cold Beverages Exhibitor Count Contact Slide Style: Fun, vibrant, summer festival feel. Playful but professional. Deliverables: Editable PowerPoint (.pptx) PDF export Full content will be provided as text after hiring."
Express Template Design,Presentations,Populate branded PowerPoint with supplied info + charts (12h rush),Powerpoint presentation design,template,"fill_text populates the supplied branded template with copy and asset_add_file places charts/logo, but the charts themselves must be supplied/built by a human; fill_text changes copy only.",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=Powerpoint%20presentation%20design,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Per-slide info/copy to populate (client provides) | Template or brand colours + logo (client provides) | Charts/designs to add - charts supplied by client or built externally then placed | Slide count - confirm; 12-hour turnaround,I need a powerpoint presentation to be populated with info that will be provided. Info per slide and so on. I will need designs and charts. I have a template or brand colors and logo which will be shared. All that is required is execution. Need it in 12hours
Express Template Design,Presentations,20-slide deck polish/redesign (content complete),Presentation Designer Needed for 20 Slide Deck,template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,"Finance, Crypto & Professional Services",https://www.upwork.com/nx/search/jobs/?q=Presentation%20Designer%20Needed%20for%2020%20Slide%20Deck,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Completed 20-slide content + structure (client supplies) | 20 slides | Brand colours/fonts/logo - confirm | Output format - confirm (PPTX/Google Slides),"Looking for a presentation designer to polish and redesign a 20 slide deck. Content and structure are already completed, we need a clean, modern, and professional visual design. Ideal candidate has 3+ years of experience with pitch decks, investor decks, or business presentations. Please include similar portfolio samples with your proposal. Start your proposal with the word “Perhaps” so I know you read the full job description."
Express Template Design,Presentations,"50-slide deck design (client wants custom, not template edits)",Custom Professional Presentation Designer Needed for 50-Slide Deck,template,"Client explicitly wants original from-scratch layouts and 'no stock templates' - the connector can only deliver an Express template + fill_text, so the bespoke custom layout/visual-hierarchy work must be finished by a human in PowerPoint.",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=Custom%20Professional%20Presentation%20Designer%20Needed%20for%2050-Sl,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,"Slide content (provided on hiring) | 50 slides | Brand colours/fonts/logo - confirm | Deliverable: editable PPTX or Google Slides, fonts embedded/linked","We are looking for a talented presentation designer to create a polished, professional, and visually compelling 50-slide deck. This is a custom design project, we are not looking for template edits. We need original layouts, thoughtful visual hierarchy, and a cohesive design language throughout the entire deck. The content will be provided to the selected designer upon hiring. Custom slide design built from scratch, no stock templates Clean typography, strong hierarchy, and well-balanced use of white space Editable file delivered in PowerPoint (.pptx) or Google Slides format All fonts and assets are properly embedded or linked Proven experience designing professional presentations (please share portfolio) Ability to work with provided content and bring it to life visually Responsive communication and willingness to incorporate feedback Availability to start immediately and commit to the 7-day timeline At least 1–2 revisions included in your proposal Please submit your proposal with the following: a link to your portfolio or 2–3 relevant presentation samples. Applications without portfolio samples will not be considered."
Express Template Design,Presentations,"PowerPoint template design (brand-aligned, reusable)",PowerPoint Presentation Template Design,template,"search_design finds a close Express presentation template and asset_add_file places brand assets, but a fully reusable brand-aligned PowerPoint master (.potx with custom layouts) must be finished by a human in PowerPoint.",upwork,,Video Editing & Motion Graphics,https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20Template%20Design,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Brand identity / guidelines (client provides) | Slide types/layouts required - confirm | Brand colours/fonts/logo | Output: reusable PowerPoint template,We are seeking a skilled freelancer to design professional PowerPoint presentation templates for our company. The main task involves creating a comprehensive template that aligns with our brand identity. The ideal candidate should have experience in presentation design and be proficient in Microsoft PowerPoint. Attention to detail and creativity are essential for this role.
Express Template Design,Presentations,"PowerPoint master template (.potx) - 8-12 layouts, financial advisory",PowerPoint Presentation Template Specialist – for Financial Advisory,template,Client requires a native .potx master built in PowerPoint with master slides/native shapes - the connector cannot author a PowerPoint master theme or the 2-3 bespoke complex diagrams; a human must build the .potx in PowerPoint.,upwork,,"Finance, Crypto & Professional Services",https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20Template%20Specialist%20–%20for%20Financia,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,"Existing 30-slide rough draft deck (client supplies) | Newly designed corporate logo (client provides) | Sophisticated financial colour palette (hex codes) to program into theme | 8-12 master slide layouts (Title, Section dividers, Exec summary/text-heavy, Chart/data placeholders, Comparison/table grids, Team bio/Contact) | Plus 2-3 of the most complex draft diagrams to design | Deliverable: native Microsoft PowerPoint .potx master, no locked objects","I am launching an independent family office advisory business and need a professional, high-end, institutional-grade Microsoft PowerPoint master template (.potx). I have an existing 30-slide rough draft deck that I created, along with a newly designed corporate logo.I do not need you to design all 30 slides. Instead, I need you to convert my draft and logo into a clean, cohesive brand identity, and deliver a comprehensive set of 8 to 12 master slide layouts that I can use to build out my own presentations moving forward. Scope of Work: Color Palette & Typography Integration: Program my new logo and a matching, sophisticated financial color palette (hex codes) directly into the master PowerPoint theme. Master Slide Creation (.potx): Build a foolproof master template with 8 to 12 reusable layouts, including: Title / Cover slide Section dividers Executive summary / Text-heavy layouts Financial chart / Data visualization placeholders Comparison / Table grids (for asset allocation or fee structures)T eam bio / Contact page Ad-Hoc Complex Slides: Review my initial 30-slide draft and help design the 2 or 3 most intricate/complex visual diagrams that I cannot easily replicate myself. Key Requirements: Tool: Must be built entirely in native Microsoft PowerPoint (using Master Slides, standard corporate fonts, and native shapes). No custom software, locked objects, or heavy graphics that prevent easy text editing. Style: Clean, trustworthy, ultra-professional, and minimalist (suitable for high-net-worth clients). Future Support: Availability for occasional, hourly ad-hoc design help down the road when I need assistance with complex client-facing pitches. Budget & Timeline:Type: Fixed-price project.Target Budget: $500 (depending on experience and portfolio quality). Timeline: 5 to 7 days from project kick-off. To Apply:Please respond with a brief description of your experience with financial/corporate presentation design and include 2 or 3 examples of Master Templates you have built. To prove you read this entire posting, please start your proposal with the words ""Family Office Design."" Proposals without this keyword will be automatically declined."
Express Template Design,Presentations,Enhance PowerPoint appearance (layout/formatting polish),PowerPoint Presentation Enhancement,template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,Video Editing & Motion Graphics,https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20Enhancement,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Existing PowerPoint (client supplies) | Slide count - confirm; brief doesn't state | Brand colours/fonts/logo - confirm | Output: PPTX,"We are seeking a skilled freelancer to enhance the appearance of a PowerPoint presentation. The task involves making the presentation look more professional and polished by adjusting layout, formatting, and design elements. The ideal candidate will have experience in presentation design and be proficient in Microsoft PowerPoint."
Express Template Design,Presentations,Design PowerPoint within a given template (24h),PowerPoint Presentation Design,template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20Design,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Content + ideation/placement guidance (client supplies) | Specific template to use (client provides) | Slide count - confirm; 24-hour turnaround | Output: PPTX,"I need someone to help me design a PowerPoint presentation, focusing on ideation and content placement within a given template. The task needs to be completed within 24 hours. The ideal candidate should have experience in presentation design and be proficient in Microsoft PowerPoint."
Express Template Design,Presentations,Reformat HTML content into branded Google Slides template - white mode (~22-23 slides),Designer to help with slide deck creation,template,"fill_text reflows the HTML content into a template, but converting to the brand light-mode palette and tight per-slide layout/type-hierarchy in native Google Slides needs a human finishing pass (fill_text can't change colours/styling).",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=Designer%20to%20help%20with%20slide%20deck%20creation,asset_add_file (HTML content + brand template + palette) -> search_design (match the branded template) -> fill_text (place content) -> asset_add_file (graphics/logo) -> asset_preview_file,Provided HTML file with the content | Existing branded Google Slides template to drop content into | ~22-23 slides | Convert deck to white / light mode (client gives colour-palette guidance) | Output: Google Slides,"We have an existing HTML file that needs to be reformatted into one of our branded Google Slides templates and converted to white/light mode. Straightforward task for someone comfortable working in Google Slides and using Claude Design. What's involved: - Take content from a provided HTML file and drop it into our existing Google Slides template - Reformat slides to fit the template layout and style - Convert the deck to white mode (we'll provide guidance on the colour palette) - Light copy/layout adjustments as needed to ensure consistency across slides - Final deck is approximately 22–23 slides You're a good fit if you: - Are proficient in Google Slides (not just PowerPoint-to-Slides transfers) - Have a clean eye for layout, spacing, and type hierarchy - Can work from an existing brand template without going off-piste - Communicate clearly and turn around work quickly"
Express Template Design,Presentations,Technical-application PowerPoint (clear communication of complex info),PowerPoint Presentation for Technical Application,template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,Video Editing & Motion Graphics,https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20for%20Technical%20Application,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Technical content to communicate (client supplies) | Diagrams/visuals to clarify concepts - client supplies or source via asset_search | Slide count - confirm; brief doesn't state | Brand colours/fonts/logo - confirm | Output: PPTX,We are seeking a skilled freelancer to create a professional PowerPoint presentation for a technical application. The presentation should effectively communicate complex technical information in a clear and engaging manner. The ideal candidate will have experience in designing presentations that are both informative and visually appealing. Attention to detail and the ability to convey technical concepts simply are essential.
Express Template Design,Presentations,Make existing PowerPoint beautiful/modern,Enhance PowerPoint Presentation,template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=Enhance%20PowerPoint%20Presentation,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Existing PowerPoint (client supplies) | Slide count - confirm; brief doesn't state | Brand colours/fonts/logo - confirm | Output: PPTX,I'm looking for someone to take a PowerPoint that I have created and make it beautiful and modern. The task involves transforming an existing presentation into a more visually appealing format. The ideal candidate should have experience in graphic design and presentation design to ensure the final product is professional and engaging.
Express Template Design,Presentations,Cleaned-up PowerPoint with visuals to a specific template (due tomorrow 3pm),PowerPoint Presentation Design,template,"Delivered via an Express presentation template: search_design supplies the layout/theme and fill_text drops in the client's copy, asset_add_file places their logo/charts/photos. fill_text changes copy ONLY; exact brand fonts/colours/sizing, custom infographics and bespoke per-slide layouts need a human finishing in Express.",upwork,,General / Cross-Industry Branding & Graphics,https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20Design,search_design (Express presentation template) -> fill_text (slide copy) -> asset_add_file (logo/charts/photos) -> asset_preview_file,Content for the deck (client supplies) | Specific template that must be used (client provides) + sample of desired look | Visuals to add - source via asset_search where possible | Slide count - confirm; deadline tomorrow 3:00 | Output: PPTX,I need a cleaned-up PowerPoint with visuals. I have a sample of how it could look but have to use a specific template. The task involves creating a visually appealing presentation that aligns with the provided template. I need by tomorroe by 3:00.
